"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",952.9591,89.26
"2","IN_CH_STATE_PE_x_CH_FEDERAL",72.1046,6.75
"3","IN_CH_STATE_PR_x_CH_FEDERAL",60.856,5.7
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",24.3415,2.28
"5","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",10.6239,1
"6","IN_CH_STATE_PB_x_CH_PRIVATE",9.7125,0.91
"7","IN_CH_STATE_CE_x_CH_STATE",8.3299,0.78
"8","STR_TEACHERS_ONLY_FUNDEDU",6.3058,0.59
"9","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",6.0766,0.57
"10","IN_CH_STATE_RJ_x_CH_PRIVATE",4.9873,0.47
"11","IN_CH_STATE_ES_x_CH_RURAL",4.8208,0.45
"12","IN_CH_STATE_RN_x_CH_PRIVATE",4.7488,0.44
"13","IN_CH_STATE_SE_x_CH_STATE",4.6502,0.44
"14","IN_CH_STATE_PI_x_CH_STATE",4.4544,0.42
"15","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",4.2005,0.39
"16","IN_CH_STATE_TO_x_FC_COMPUTER",3.4828,0.33
"17","IN_CH_STATE_AP_x_CH_URBAN",3.2556,0.3
"18","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",3.2516,0.3
"19","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",3.2426,0.3
"20","IN_CH_STATE_PI_x_CH_URBAN",3.1758,0.3
"21","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",3.0651,0.29
"22","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",3.0126,0.28
"23","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",2.8618,0.27
"24","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",2.7908,0.26
"25","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",2.7109,0.25
"26","IN_CH_STATE_PI_x_FC_INTERNET",2.6543,0.25
"27","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.2556,0.21
"28","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",2.2421,0.21
"29","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",2.2228,0.21
"30","IN_CH_STATE_CE_x_FC_COMPUTER",2.2143,0.21
"31","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",2.167,0.2
"32","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",2.1151,0.2
"33","IN_CH_STATE_RS_x_CH_RURAL",1.9352,0.18
"34","IN_CH_STATE_MA_x_CH_RURAL",1.8666,0.17
"35","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",1.6652,0.16
"36","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",1.4242,0.13
"37","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",1.4201,0.13
"38","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",1.3296,0.12
"39","CH_STATE_AP",1.2147,0.11
"40","STR_TEACHERS_SECONDARY_FUNDEDU",1.1991,0.11
"41","IN_CH_STATE_RR_x_CH_MUNICIPAL",1.1131,0.1
"42","IN_CH_STATE_PI_x_FC_SEWAGE",1.0274,0.1
"43","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",1.0122,0.09
"44","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.9944,0.09
"45","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.9249,0.09
"46","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.6252,0.06
"47","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0.4295,0.04
"48","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.2994,0.03
"49","IN_CH_STATE_PI_x_FC_LIBRARY",0.1443,0.01
"50","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.1283,0.01
"51","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.0733,0.01
"52","IN_CH_STATE_SE_x_FC_HAS_SPORTS_QUAD",0.0568,0.01
"53","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_I",0.047,0
"54","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.0068,0
"55","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0021,0
"56","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",-0.0057,0
"57","IN_CH_STATE_x_FC_COMPUTER",-0.0068,0
"58","ST_FUND_EDU_TEACHERS",-0.02,0
"59","IN_CH_STATE_ES_x_CH_STATE",-0.0807,-0.01
"60","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",-0.1778,-0.02
"61","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.1817,-0.02
"62","CLASS_STUDENT_TEACHER_RATIO",-0.1965,-0.02
"63","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-0.2972,-0.03
"64","IN_CH_STATE_SC_x_FC_LIBRARY",-0.3102,-0.03
"65","IN_CH_URBAN_x_FC_COMPUTER",-0.3165,-0.03
"66","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.3904,-0.04
"67","IN_CH_STATE_PB_x_CH_RURAL",-0.5706,-0.05
"68","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.5943,-0.06
"69","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.595,-0.06
"70","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-0.7031,-0.07
"71","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.7095,-0.07
"72","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-0.716,-0.07
"73","FC_INTERNET",-0.7214,-0.07
"74","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.7331,-0.07
"75","IN_CH_STATE_PE_x_CH_URBAN",-0.7575,-0.07
"76","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",-0.7821,-0.07
"77","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.8946,-0.08
"78","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-0.9339,-0.09
"79","FC_LIBRARY",-0.964,-0.09
"80","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-1.0401,-0.1
"81","IN_CH_STATE_SP_x_CH_MUNICIPAL",-1.2202,-0.11
"82","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-1.3301,-0.12
"83","IN_CH_STATE_MG_x_CH_STATE",-1.3438,-0.13
"84","FC_ANTENNA_EQUIPMENT",-1.356,-0.13
"85","IN_CH_STATE_BA_x_CH_RURAL",-1.4198,-0.13
"86","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-1.5927,-0.15
"87","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-1.6864,-0.16
"88","IN_CH_STATE_SC_x_FC_INTERNET",-2.152,-0.2
"89","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",-2.2189,-0.21
"90","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-2.674,-0.25
"91","IN_CH_STATE_MG_x_CH_RURAL",-2.7732,-0.26
"92","IN_CH_STATE_ES_x_CH_PRIVATE",-2.9331,-0.27
"93","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",-3.0242,-0.28
"94","IN_CH_STATE_x_FC_INTERNET",-3.0898,-0.29
"95","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",-3.3181,-0.31
"96","IN_CH_RURAL_x_FC_SCIENCE_LAB",-3.3361,-0.31
"97","STR_TEACHERS_ADVANCED_FUNDEDU",-3.3825,-0.32
"98","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-3.9864,-0.37
"99","IN_CH_STATE_BA_x_CH_MUNICIPAL",-4.1482,-0.39
"100","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-4.652,-0.44
"101","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-4.7629,-0.45
"102","IN_CH_URBAN_x_FC_INTERNET",-4.8,-0.45
"103","IN_CH_STATE_PA_x_CH_RURAL",-5.4037,-0.51
"104","IN_CH_STATE_RS_x_CH_URBAN",-5.7208,-0.54
"105","IN_CH_STATE_RJ_x_CH_RURAL",-5.9325,-0.56
"106","IN_CH_STATE_MG_x_CH_FEDERAL",-6.2116,-0.58
"107","IN_CH_STATE_SP_x_CH_PRIVATE",-6.62,-0.62
"108","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-7.0314,-0.66
"109","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-7.4959,-0.7
"110","IN_CH_STATE_MA_x_FC_INTERNET",-10.1405,-0.95
"111","IN_CH_STATE_PA_x_CH_STATE",-10.4995,-0.98
"112","STR_TEACHERS_INCOMPLETE_FUNDEDU",-10.7499,-1.01
"113","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",-11.3629,-1.06
"114","IN_CH_STATE_MA_x_CH_PRIVATE",-11.5534,-1.08
"115","IN_CH_STATE_PR_x_CH_RURAL",-13.988,-1.31
"116","IN_CH_STATE_SP_x_CH_RURAL",-14.807,-1.39
"117","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-16.4542,-1.54
"118","IN_CH_STATE_ES_x_CH_FEDERAL",-36.592,-3.43
