"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",704.9003,100.87
"2","IN_CH_STATE_PR_x_CH_FEDERAL",60.46,8.65
"3","IN_CH_STATE_PE_x_CH_FEDERAL",38.2216,5.47
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",12.9455,1.85
"5","IN_CH_STATE_PB_x_CH_PRIVATE",6.3496,0.91
"6","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",6.1565,0.88
"7","STR_TEACHERS_ONLY_FUNDEDU",5.9599,0.85
"8","IN_CH_STATE_CE_x_CH_STATE",4.64,0.66
"9","IN_CH_STATE_PI_x_CH_STATE",3.9383,0.56
"10","IN_CH_STATE_RN_x_CH_PRIVATE",3.5658,0.51
"11","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",3.5184,0.5
"12","IN_CH_STATE_ES_x_CH_RURAL",3.071,0.44
"13","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",2.8161,0.4
"14","IN_CH_STATE_AP_x_CH_URBAN",2.7541,0.39
"15","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",2.6798,0.38
"16","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",2.3399,0.33
"17","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",2.0402,0.29
"18","IN_CH_STATE_RS_x_CH_RURAL",1.9705,0.28
"19","IN_CH_STATE_PI_x_CH_URBAN",1.9352,0.28
"20","STR_TEACHERS_SECONDARY_FUNDEDU",1.8728,0.27
"21","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",1.7805,0.25
"22","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.7217,0.25
"23","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",1.689,0.24
"24","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",1.6775,0.24
"25","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.623,0.23
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",1.5334,0.22
"27","IN_CH_STATE_SE_x_CH_STATE",1.5276,0.22
"28","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",1.4962,0.21
"29","IN_CH_STATE_PI_x_FC_INTERNET",1.4595,0.21
"30","IN_CH_STATE_TO_x_FC_COMPUTER",1.3685,0.2
"31","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",1.3358,0.19
"32","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",1.3073,0.19
"33","IN_CH_STATE_RJ_x_CH_PRIVATE",1.1789,0.17
"34","IN_CH_STATE_RJ_x_CH_FEDERAL",1.1584,0.17
"35","IN_CH_STATE_SC_x_CH_PRIVATE",1.152,0.16
"36","IN_CH_STATE_CE_x_FC_COMPUTER",1.1278,0.16
"37","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",1.0898,0.16
"38","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",1.0847,0.16
"39","IN_CH_STATE_MA_x_CH_RURAL",1.0211,0.15
"40","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.6167,0.09
"41","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.5757,0.08
"42","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0.5469,0.08
"43","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.4394,0.06
"44","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.4263,0.06
