"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",759.1329,84
"2","IN_CH_STATE_PR_x_CH_FEDERAL",49.0588,5.43
"3","IN_CH_STATE_PE_x_CH_FEDERAL",41.726,4.62
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",15.997,1.77
"5","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",7.9747,0.88
"6","IN_CH_STATE_PB_x_CH_PRIVATE",7.3151,0.81
"7","IN_CH_STATE_CE_x_CH_STATE",6.073,0.67
"8","STR_TEACHERS_ONLY_FUNDEDU",4.468,0.49
"9","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",4.0918,0.45
"10","IN_CH_STATE_RN_x_CH_PRIVATE",4.0613,0.45
"11","IN_CH_STATE_ES_x_CH_RURAL",3.514,0.39
"12","IN_CH_STATE_RJ_x_CH_PRIVATE",3.4715,0.38
"13","IN_CH_STATE_PI_x_CH_STATE",3.3919,0.38
"14","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",3.2718,0.36
"15","IN_CH_STATE_SE_x_CH_STATE",3.1734,0.35
"16","IN_CH_STATE_PI_x_CH_URBAN",2.5719,0.28
"17","IN_CH_STATE_AP_x_CH_URBAN",2.5317,0.28
"18","IN_CH_STATE_TO_x_FC_COMPUTER",2.4148,0.27
"19","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",2.2917,0.25
"20","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",2.2524,0.25
"21","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",2.2295,0.25
"22","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",2.0687,0.23
"23","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",2.0561,0.23
"24","IN_CH_STATE_PI_x_FC_INTERNET",2.0419,0.23
"25","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",1.9808,0.22
"26","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",1.9449,0.22
"27","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",1.892,0.21
"28","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",1.8361,0.2
"29","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.8251,0.2
"30","IN_CH_STATE_CE_x_FC_COMPUTER",1.6389,0.18
"31","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.5696,0.17
"32","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",1.4105,0.16
"33","IN_CH_STATE_RS_x_CH_RURAL",1.3531,0.15
"34","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",1.302,0.14
"35","IN_CH_STATE_MA_x_CH_RURAL",1.2845,0.14
"36","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",0.9876,0.11
"37","CH_STATE_AP",0.9867,0.11
"38","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",0.9829,0.11
"39","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.8372,0.09
"40","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.7928,0.09
"41","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.7911,0.09
"42","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.7606,0.08
"43","IN_CH_STATE_PI_x_FC_SEWAGE",0.753,0.08
"44","STR_TEACHERS_SECONDARY_FUNDEDU",0.7461,0.08
"45","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.5884,0.07
"46","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.4929,0.05
"47","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0.3756,0.04
"48","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.0489,0.01
"49","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.0362,0
"50","IN_CH_STATE_PI_x_FC_LIBRARY",0.0279,0
"51","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_I",0.0187,0
"52","IN_CH_STATE_AP_x_FC_WATER",0.0087,0
