"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",603.3322,97.6
"2","IN_CH_STATE_PR_x_CH_FEDERAL",48.5403,7.85
"3","IN_CH_STATE_PE_x_CH_FEDERAL",32.7638,5.3
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",11.8634,1.92
"5","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",5.6669,0.92
"6","IN_CH_STATE_PB_x_CH_PRIVATE",5.4739,0.89
"7","IN_CH_STATE_CE_x_CH_STATE",3.7653,0.61
"8","STR_TEACHERS_ONLY_FUNDEDU",3.7513,0.61
"9","IN_CH_STATE_PI_x_CH_STATE",3.3498,0.54
"10","IN_CH_STATE_RN_x_CH_PRIVATE",3.3169,0.54
"11","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",3.1154,0.5
"12","IN_CH_STATE_ES_x_CH_RURAL",2.7281,0.44
"13","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",2.2796,0.37
"14","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",2.2331,0.36
"15","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",2.1171,0.34
"16","IN_CH_STATE_SE_x_CH_STATE",2.0855,0.34
"17","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",2.0343,0.33
"18","IN_CH_STATE_AP_x_CH_URBAN",1.9253,0.31
"19","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",1.8575,0.3
"20","IN_CH_STATE_PI_x_CH_URBAN",1.8295,0.3
"21","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",1.6585,0.27
"22","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.6214,0.26
"23","IN_CH_STATE_RS_x_CH_RURAL",1.533,0.25
"24","IN_CH_STATE_RJ_x_CH_PRIVATE",1.4989,0.24
"25","IN_CH_STATE_TO_x_FC_COMPUTER",1.4761,0.24
"26","IN_CH_STATE_PI_x_FC_INTERNET",1.4125,0.23
"27","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",1.3706,0.22
"28","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",1.3684,0.22
"29","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.3079,0.21
"30","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",1.234,0.2
"31","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",1.2336,0.2
"32","IN_CH_STATE_CE_x_FC_COMPUTER",1.1372,0.18
"33","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",1.0036,0.16
"34","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",0.9701,0.16
"35","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.893,0.14
"36","IN_CH_STATE_MA_x_CH_RURAL",0.8409,0.14
"37","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.5501,0.09
"38","IN_CH_STATE_PI_x_FC_SEWAGE",0.5375,0.09
"39","STR_TEACHERS_SECONDARY_FUNDEDU",0.5073,0.08
"40","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0.4743,0.08
"41","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.4204,0.07
"42","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.3862,0.06
"43","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.35,0.06
"44","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.3456,0.06
"45","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.3117,0.05
"46","CH_STATE_AP",0.2371,0.04
"47","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",0.2136,0.03
"48","IN_CH_STATE_SC_x_CH_PRIVATE",0.2038,0.03
"49","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",0.1592,0.03
"50","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.129,0.02
"51","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0714,0.01
"52","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.0234,0
"53","IN_CH_STATE_AP_x_FC_WATER",0.0026,0
"54","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_I",3e-04,0
"55","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",-0.0017,0
"56","CLASS_STUDENT_TEACHER_RATIO",-0.0223,0
"57","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.0451,-0.01
"58","IN_CH_STATE_PE_x_FC_INTERNET",-0.0704,-0.01
"59","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-0.079,-0.01
"60","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",-0.1629,-0.03
"61","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.1783,-0.03
"62","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.2742,-0.04
"63","IN_CH_URBAN_x_FC_COMPUTER",-0.2819,-0.05
"64","IN_CH_STATE_PB_x_CH_RURAL",-0.4066,-0.07
"65","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.424,-0.07
"66","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.4412,-0.07
"67","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-0.4491,-0.07
