"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_ES_x_CH_FEDERAL",3.1111,-6.02
"2","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",2.6736,-5.18
"3","IN_CH_STATE_SP_x_CH_RURAL",1.3339,-2.58
"4","IN_CH_STATE_PR_x_CH_RURAL",1.2641,-2.45
"5","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",1.2226,-2.37
"6","IN_CH_STATE_MA_x_CH_PRIVATE",1.1843,-2.29
"7","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",1.0436,-2.02
"8","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.0145,-1.96
"9","IN_CH_STATE_MG_x_CH_FEDERAL",0.9481,-1.84
"10","IN_CH_STATE_MA_x_FC_INTERNET",0.9446,-1.83
"11","IN_CH_STATE_RJ_x_CH_RURAL",0.9298,-1.8
"12","IN_CH_STATE_AM_x_CH_PRIVATE",0.9104,-1.76
"13","IN_CH_STATE_PA_x_CH_STATE",0.9009,-1.74
"14","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.7268,-1.41
"15","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.7108,-1.38
"16","IN_CH_STATE_RS_x_CH_URBAN",0.6781,-1.31
"17","IN_CH_STATE_SP_x_CH_PRIVATE",0.6323,-1.22
"18","IN_CH_STATE_ES_x_CH_PRIVATE",0.6282,-1.22
"19","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.5415,-1.05
"20","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.4429,-0.86
"21","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0.4207,-0.81
"22","IN_CH_STATE_RJ_x_CH_STATE",0.3874,-0.75
"23","IN_CH_STATE_SC_x_FC_INTERNET",0.3706,-0.72
"24","STR_TEACHERS_ADVANCED_FUNDEDU",0.3671,-0.71
"25","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.3429,-0.66
"26","IN_CH_STATE_BA_x_CH_MUNICIPAL",0.2963,-0.57
"27","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.2943,-0.57
"28","IN_CH_STATE_PA_x_CH_RURAL",0.2919,-0.57
"29","IN_CH_STATE_ES_x_FC_INTERNET",0.2796,-0.54
"30","IN_CH_STATE_MG_x_CH_STATE",0.2772,-0.54
"31","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.2339,-0.45
"32","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.2158,-0.42
"33","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.2156,-0.42
"34","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",0.2114,-0.41
"35","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.2104,-0.41
"36","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.2064,-0.4
"37","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.2058,-0.4
"38","IN_CH_STATE_MG_x_CH_RURAL",0.1967,-0.38
"39","IN_CH_STATE_PE_x_FC_INTERNET",0.1943,-0.38
"40","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",0.1931,-0.37
"41","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.1858,-0.36
"42","IN_CH_STATE_ES_x_CH_STATE",0.1821,-0.35
"43","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.1578,-0.31
"44","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.1523,-0.29
"45","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.1509,-0.29
"46","IN_CH_STATE_BA_x_CH_RURAL",0.1443,-0.28
"47","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.1403,-0.27
"48","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.1331,-0.26
"49","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.1326,-0.26
"50","IN_CH_STATE_x_FC_INTERNET",0.1318,-0.26
"51","IN_CH_URBAN_x_FC_INTERNET",0.1303,-0.25
"52","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1238,-0.24
"53","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.1229,-0.24
"54","IN_CH_STATE_PB_x_CH_RURAL",0.1176,-0.23
"55","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.1157,-0.22
"56","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.1053,-0.2
"57","IN_CH_STATE_PE_x_CH_URBAN",0.0886,-0.17
"58","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.0883,-0.17
"59","FC_ANTENNA_EQUIPMENT",0.0707,-0.14
"60","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.0673,-0.13
"61","FC_LIBRARY",0.0359,-0.07
"62","IN_CH_STATE_PE_x_CH_PRIVATE",0.0341,-0.07
"63","IN_CH_STATE_x_FC_HAS_SPORTS_QUAD",0.0341,-0.07
"64","FC_INTERNET",0.0335,-0.06
"65","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.0199,-0.04
"66","IN_CH_STATE_AL_x_FC_COMPUTER_LAB",0.016,-0.03
"67","FC_COMPUTER",0.0147,-0.03
"68","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.014,-0.03
"69","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0074,-0.01
"70","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.0045,-0.01
"71","IN_CH_URBAN_x_FC_COMPUTER",7e-04,0
"72","CH_MATRI_FUNDAMENTAL_EDU",-3e-04,0
"73","CH_MATRI_FUNDAMENTAL_EDU_I",-7e-04,0
"74","IN_CH_STATE_TO_x_FC_COMPUTER",-0.0045,0.01
"75","IN_CH_STATE_PI_x_FC_SEWAGE",-0.0051,0.01
"76","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",-0.008,0.02
"77","CLASS_STUDENT_TEACHER_RATIO",-0.0118,0.02
"78","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",-0.0176,0.03
