"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.4486,-0.44
"2","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.3798,-0.37
"3","CH_STATE_SP",0.3214,-0.31
"4","IN_CH_STATE_SP_x_CH_RURAL",0.3186,-0.31
"5","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.3113,-0.3
"6","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.3107,-0.3
"7","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.3039,-0.3
"8","IN_CH_STATE_x_FC_INTERNET",0.2967,-0.29
"9","IN_CH_STATE_MA_x_FC_INTERNET",0.2788,-0.27
"10","IN_CH_STATE_RS_x_CH_URBAN",0.2778,-0.27
"11","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",0.2765,-0.27
"12","IN_CH_STATE_PR_x_CH_RURAL",0.2455,-0.24
"13","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.2001,-0.19
"14","IN_CH_STATE_PA_x_CH_RURAL",0.1992,-0.19
"15","IN_CH_STATE_SC_x_FC_LIBRARY",0.1843,-0.18
"16","STR_TEACHERS_ADVANCED_FUNDEDU",0.1788,-0.17
"17","IN_CH_STATE_SC_x_CH_URBAN",0.174,-0.17
"18","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",0.1532,-0.15
"19","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.1511,-0.15
"20","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0.1472,-0.14
"21","IN_CH_URBAN_x_FC_INTERNET",0.1342,-0.13
"22","IN_CH_STATE_MA_x_CH_PRIVATE",0.123,-0.12
"23","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1193,-0.12
"24","FC_ANTENNA_EQUIPMENT",0.1042,-0.1
"25","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.0988,-0.1
"26","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",0.0984,-0.1
"27","CLASS_STUDENT_TEACHER_RATIO",0.0515,-0.05
"28","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.0265,-0.03
"29","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0261,-0.03
"30","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.0252,-0.02
"31","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0199,-0.02
"32","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.0157,-0.02
"33","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.0154,-0.01
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.013,-0.01
"35","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.0091,-0.01
"36","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.0074,-0.01
"37","IN_CH_STATE_BA_x_CH_URBAN",0.0063,-0.01
"38","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.0057,-0.01
"39","IN_CH_STATE_SP_x_CH_PRIVATE",0.0056,-0.01
"40","ST_FUND_EDU_TEACHERS",0.0045,0
"41","IN_CH_STATE_SP_x_CH_STATE",0.0028,0
"42","IN_CH_STATE_SP_x_FC_SEWAGE",0.0015,0
"43","CH_MATRI_FUNDAMENTAL_EDU",5e-04,0
"44","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",1e-04,0
"45","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"46","IN_CH_STATE_AP_x_FC_LIBRARY",-8e-04,0
"47","IN_CH_STATE_PI_x_FC_COMPUTER",-0.0025,0
"48","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.0076,0.01
"49","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0163,0.02
"50","CH_FUNDAMENTAL_EDU_I",-0.0181,0.02
"51","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-0.0239,0.02
"52","IN_CH_STATE_SE_x_FC_HAS_SPORTS_QUAD",-0.0314,0.03
"53","IN_CH_STATE_PI_x_FC_INTERNET",-0.039,0.04
"54","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR_PUBLIC",-0.0398,0.04
"55","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",-0.0428,0.04
"56","IN_CH_STATE_RO_x_CH_STATE",-0.0478,0.05
"57","IN_CH_STATE_AP_x_FC_TV_EQUIPMENT",-0.057,0.06
"58","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",-0.0583,0.06
"59","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.0727,0.07
"60","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",-0.0792,0.08
"61","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",-0.1334,0.13
"62","IN_CH_STATE_SE_x_CH_STATE",-0.1348,0.13
"63","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-0.1586,0.15
"64","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-0.1611,0.16
"65","IN_CH_STATE_CE_x_FC_COMPUTER",-0.1634,0.16
"66","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",-0.1758,0.17
"67","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",-0.2047,0.2
"68","IN_CH_STATE_ES_x_CH_RURAL",-0.2119,0.21
"69","IN_CH_STATE_TO_x_FC_INTERNET",-0.2122,0.21
"70","IN_CH_STATE_CE_x_CH_STATE",-0.2187,0.21
"71","IN_CH_STATE_PB_x_CH_PRIVATE",-0.2301,0.22
