"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_ES_x_CH_FEDERAL",4.5541,-2.96
"2","IN_CH_STATE_SP_x_CH_RURAL",2.0298,-1.32
"3","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",1.9583,-1.27
"4","IN_CH_STATE_PR_x_CH_RURAL",1.8513,-1.2
"5","IN_CH_STATE_MA_x_CH_PRIVATE",1.4762,-0.96
"6","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",1.322,-0.86
"7","IN_CH_STATE_MA_x_FC_INTERNET",1.3173,-0.86
"8","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.2823,-0.83
"9","IN_CH_STATE_PA_x_CH_STATE",1.2566,-0.82
"10","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.0958,-0.71
"11","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.9055,-0.59
"12","IN_CH_STATE_SP_x_CH_PRIVATE",0.8116,-0.53
"13","IN_CH_STATE_PA_x_CH_RURAL",0.7313,-0.48
"14","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.6999,-0.45
"15","IN_CH_STATE_RS_x_CH_URBAN",0.6677,-0.43
"16","IN_CH_URBAN_x_FC_INTERNET",0.6535,-0.42
"17","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.5743,-0.37
"18","IN_CH_STATE_RJ_x_CH_RURAL",0.5465,-0.36
"19","IN_CH_STATE_x_FC_INTERNET",0.5273,-0.34
"20","STR_TEACHERS_ADVANCED_FUNDEDU",0.525,-0.34
"21","IN_CH_STATE_BA_x_CH_MUNICIPAL",0.47,-0.31
"22","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.4496,-0.29
"23","IN_CH_STATE_MG_x_CH_RURAL",0.4443,-0.29
"24","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.4391,-0.29
"25","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.387,-0.25
"26","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0.3478,-0.23
"27","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.3466,-0.23
"28","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.3442,-0.22
"29","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.2971,-0.19
"30","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.2925,-0.19
"31","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.253,-0.16
"32","IN_CH_STATE_SC_x_FC_INTERNET",0.2301,-0.15
"33","IN_CH_STATE_MG_x_CH_STATE",0.1867,-0.12
"34","IN_CH_STATE_SC_x_FC_LIBRARY",0.1793,-0.12
"35","IN_CH_STATE_BA_x_CH_RURAL",0.1651,-0.11
"36","IN_CH_STATE_ES_x_CH_PRIVATE",0.1583,-0.1
"37","FC_ANTENNA_EQUIPMENT",0.1222,-0.08
"38","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.1172,-0.08
"39","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.1047,-0.07
"40","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.1006,-0.07
"41","FC_LIBRARY",0.0959,-0.06
"42","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.0918,-0.06
"43","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.0875,-0.06
"44","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.0718,-0.05
"45","FC_INTERNET",0.0673,-0.04
"46","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",0.0671,-0.04
"47","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.0651,-0.04
"48","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0641,-0.04
"49","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.0612,-0.04
"50","CLASS_STUDENT_TEACHER_RATIO",0.0404,-0.03
"51","IN_CH_URBAN_x_FC_COMPUTER",0.04,-0.03
"52","CH_STATE_SP",0.0275,-0.02
"53","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.0266,-0.02
"54","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.0238,-0.02
"55","FC_SEWAGE",0.0206,-0.01
"56","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0117,-0.01
"57","IN_CH_STATE_PB_x_CH_RURAL",0.0112,-0.01
"58","ST_FUND_EDU_TEACHERS",0.0057,0
"59","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0037,0
