"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",111.2123,282.14
"2","IN_CH_STATE_RJ_x_CH_FEDERAL",7.1198,18.06
"3","IN_CH_STATE_PR_x_CH_FEDERAL",4.9597,12.58
"4","IN_CH_STATE_BA_x_CH_FEDERAL",4.4624,11.32
"5","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",2.9608,7.51
"6","IN_CH_STATE_PE_x_CH_FEDERAL",2.2976,5.83
"7","IN_CH_STATE_PB_x_CH_PRIVATE",0.9844,2.5
"8","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",0.7999,2.03
"9","IN_CH_STATE_CE_x_CH_STATE",0.7756,1.97
"10","IN_CH_STATE_ES_x_CH_RURAL",0.6862,1.74
"11","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.6366,1.62
"12","STR_TEACHERS_ONLY_FUNDEDU",0.6145,1.56
"13","IN_CH_STATE_PI_x_CH_STATE",0.5644,1.43
"14","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.42,1.07
"15","IN_CH_STATE_RS_x_CH_RURAL",0.3968,1.01
"16","IN_CH_STATE_RN_x_CH_PRIVATE",0.3939,1
"17","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.3405,0.86
"18","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.3266,0.83
"19","IN_CH_STATE_PI_x_CH_URBAN",0.299,0.76
"20","IN_CH_STATE_AP_x_CH_URBAN",0.2882,0.73
"21","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.2778,0.7
"22","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.2751,0.7
"23","IN_CH_STATE_MA_x_CH_RURAL",0.2713,0.69
"24","STR_TEACHERS_SECONDARY_FUNDEDU",0.2343,0.59
"25","IN_CH_STATE_PI_x_FC_INTERNET",0.2158,0.55
"26","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",0.2146,0.54
"27","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.209,0.53
"28","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.2012,0.51
"29","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.1878,0.48
"30","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.1628,0.41
"31","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.1599,0.41
"32","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.1479,0.38
"33","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.1329,0.34
"34","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.1167,0.3
"35","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.1155,0.29
"36","IN_CH_STATE_CE_x_FC_COMPUTER",0.0874,0.22
"37","IN_CH_STATE_RO_x_CH_RURAL",0.061,0.15
"38","IN_CH_STATE_PI_x_FC_SEWAGE",0.0559,0.14
"39","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",0.0507,0.13
"40","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.0345,0.09
"41","IN_CH_STATE_TO_x_FC_COMPUTER",0.0207,0.05
"42","CH_STATE_AP",0.018,0.05
"43","IN_CH_STATE_AP_x_FC_WATER",0.0179,0.05
"44","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.017,0.04
"45","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0148,0.04
"46","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0137,0.03
"47","CLASS_STUDENT_TEACHER_RATIO",0.0039,0.01
"48","FC_ROOMS_AVAILABLE",0.0015,0
"49","CH_MATRI_FUNDAMENTAL_EDU_I",0.0014,0
"50","CH_MATRI_FUNDAMENTAL_EDU",0,0
"51","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.0057,-0.01
"52","FC_LIBRARY",-0.0075,-0.02
"53","IN_CH_STATE_MG_x_FC_LIBRARY",-0.0094,-0.02
"54","FC_COMPUTER",-0.0105,-0.03
"55","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.0222,-0.06
"56","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.0228,-0.06
"57","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",-0.042,-0.11
"58","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.0436,-0.11
"59","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.0512,-0.13
"60","IN_CH_STATE_BA_x_CH_RURAL",-0.0563,-0.14
"61","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",-0.0603,-0.15
"62","IN_CH_URBAN_x_FC_COMPUTER",-0.074,-0.19
"63","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-0.116,-0.29
"64","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.1339,-0.34
"65","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.1342,-0.34
"66","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.1432,-0.36
"67","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.1553,-0.39
"68","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.1734,-0.44
"69","IN_CH_STATE_SE_x_CH_FEDERAL",-0.1737,-0.44
"70","IN_CH_STATE_PB_x_CH_RURAL",-0.1786,-0.45
"71","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",-0.1798,-0.46
"72","IN_CH_STATE_ES_x_CH_URBAN",-0.1808,-0.46
"73","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.1826,-0.46
"74","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.2006,-0.51
"75","IN_CH_STATE_MG_x_CH_STATE",-0.2025,-0.51
"76","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-0.2083,-0.53
"77","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.2189,-0.56
"78","IN_CH_STATE_MG_x_CH_RURAL",-0.2202,-0.56
"79","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.2283,-0.58
"80","IN_CH_STATE_ES_x_FC_INTERNET",-0.2357,-0.6
"81","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",-0.2467,-0.63
"82","IN_CH_STATE_PE_x_CH_PRIVATE",-0.2663,-0.68
"83","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.2685,-0.68
"84","IN_CH_STATE_PA_x_CH_RURAL",-0.2697,-0.68
"85","IN_CH_STATE_PE_x_FC_INTERNET",-0.2773,-0.7
"86","IN_CH_URBAN_x_FC_INTERNET",-0.3061,-0.78
"87","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-0.3135,-0.8
"88","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-0.3145,-0.8
"89","IN_CH_STATE_x_FC_HAS_SPORTS_QUAD",-0.325,-0.82
"90","STR_TEACHERS_ADVANCED_FUNDEDU",-0.3634,-0.92
"91","IN_CH_STATE_SP_x_CH_MUNICIPAL",-0.3865,-0.98
"92","IN_CH_STATE_ES_x_CH_FEDERAL",-0.393,-1
"93","IN_CH_STATE_ES_x_CH_STATE",-0.3956,-1
"94","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",-0.4006,-1.02
"95","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",-0.4586,-1.16
"96","IN_CH_STATE_BA_x_CH_MUNICIPAL",-0.5271,-1.34
"97","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-0.577,-1.46
"98","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.5849,-1.48
