"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",3.8163,2.84
"2","IN_CH_STATE_SE_x_CH_STATE",1.6029,1.19
"3","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",0.9955,0.74
"4","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.9763,0.73
"5","IN_CH_STATE_RJ_x_CH_PRIVATE",0.7641,0.57
"6","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.6859,0.51
"7","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.5174,0.39
"8","STR_TEACHERS_SECONDARY_FUNDEDU",0.4547,0.34
"9","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.4478,0.33
"10","IN_CH_STATE_ES_x_CH_RURAL",0.3717,0.28
"11","IN_CH_STATE_CE_x_FC_COMPUTER",0.3665,0.27
"12","IN_CH_STATE_PB_x_CH_PRIVATE",0.3592,0.27
"13","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",0.3583,0.27
"14","IN_CH_STATE_CE_x_CH_RURAL",0.3294,0.25
"15","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.2965,0.22
"16","IN_CH_STATE_PI_x_FC_ELECTR",0.2871,0.21
"17","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.2576,0.19
"18","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.2571,0.19
"19","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.2315,0.17
"20","IN_CH_STATE_TO_x_FC_COMPUTER",0.2098,0.16
"21","IN_CH_STATE_PI_x_CH_URBAN",0.1662,0.12
"22","IN_CH_STATE_SE_x_CH_PRIVATE",0.1349,0.1
"23","IN_CH_STATE_PI_x_FC_INTERNET",0.1331,0.1
"24","IN_CH_STATE_TO_x_FC_WATER_PUBLIC",0.1262,0.09
"25","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.118,0.09
"26","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.1091,0.08
"27","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.1045,0.08
"28","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.0806,0.06
"29","IN_CH_STATE_PI_x_FC_LIBRARY",0.0744,0.06
"30","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",0.0716,0.05
"31","CH_FUNDAMENTAL_EDU_I",0.0576,0.04
"32","IN_CH_STATE_PI_x_FC_SEWAGE",0.0494,0.04
"33","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.0454,0.03
"34","IN_CH_STATE_RN_x_CH_RURAL",0.0291,0.02
"35","CH_STATE_SE",0.014,0.01
"36","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.0086,0.01
"37","IN_CH_STATE_SE_x_FC_HAS_SPORTS_QUAD",0.0054,0
"38","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",0.0036,0
"39","CH_FUNDAMENTAL_EDU_T",0.001,0
"40","IN_CH_STATE_SE_x_CH_FUNDAMENTAL_EDU_I",7e-04,0
"41","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"42","IN_CH_STATE_PR_x_FC_SEWAGE",0,0
"43","IN_CH_STATE_PR_x_CH_FUNDAMENTAL_EDU_I",-1e-04,0
"44","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",-1e-04,0
"45","IN_CH_STATE_SP_x_FC_WATER",-3e-04,0
"46","CH_MATRI_FUNDAMENTAL_EDU_T",-9e-04,0
"47","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",-9e-04,0
"48","CH_MATRI_FUNDAMENTAL_EDU",-0.0017,0
"49","IN_CH_STATE_SP_x_FC_SEWAGE",-0.0067,0
"50","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.007,-0.01
"51","ST_FUND_EDU_TEACHERS",-0.009,-0.01
"52","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",-0.0135,-0.01
"53","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",-0.016,-0.01
"54","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.0269,-0.02
"55","FC_SEWAGE",-0.0392,-0.03
"56","IN_CH_STATE_PR_x_FC_WATER_PUBLIC",-0.0497,-0.04
"57","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.0739,-0.06
"58","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.0855,-0.06
"59","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.0859,-0.06
"60","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.0993,-0.07
"61","FC_SEWAGE_PUBLIC",-0.1049,-0.08
"62","CLASS_STUDENT_TEACHER_RATIO",-0.1056,-0.08
"63","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.1694,-0.13
"64","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.1832,-0.14
"65","IN_CH_STATE_x_FC_WATER_PUBLIC",-0.1929,-0.14
"66","IN_CH_STATE_MG_x_CH_RURAL",-0.2061,-0.15
"67","FC_ANTENNA_EQUIPMENT",-0.2065,-0.15
"68","IN_CH_STATE_BA_x_CH_MUNICIPAL",-0.207,-0.15
"69","IN_CH_STATE_PR_x_CH_MUNICIPAL",-0.2353,-0.18
"70","IN_CH_STATE_SP_x_CH_PRIVATE",-0.241,-0.18
"71","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.2473,-0.18
"72","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.2598,-0.19
"73","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",-0.3007,-0.22
"74","IN_CH_URBAN_x_FC_INTERNET",-0.3108,-0.23
