"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",75.745,38
"2","IN_CH_STATE_PE_x_CH_FEDERAL",17.0093,8.53
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",4.5403,2.28
"4","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",2.54,1.27
"5","IN_CH_STATE_PB_x_CH_PRIVATE",2.3312,1.17
"6","IN_CH_STATE_CE_x_CH_STATE",1.8847,0.95
"7","IN_CH_STATE_RJ_x_CH_PRIVATE",1.412,0.71
"8","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.3058,0.66
"9","IN_CH_STATE_SE_x_CH_STATE",1.2696,0.64
"10","IN_CH_STATE_AP_x_CH_URBAN",1.0723,0.54
"11","IN_CH_STATE_RN_x_CH_PRIVATE",1.0681,0.54
"12","STR_TEACHERS_ONLY_FUNDEDU",1.003,0.5
"13","IN_CH_STATE_ES_x_CH_RURAL",0.9441,0.47
"14","IN_CH_STATE_TO_x_FC_COMPUTER",0.8136,0.41
"15","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",0.7757,0.39
"16","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.756,0.38
"17","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.6695,0.34
"18","IN_CH_STATE_PI_x_CH_URBAN",0.6623,0.33
"19","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.6575,0.33
"20","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",0.6562,0.33
"21","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.5981,0.3
"22","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.5908,0.3
"23","IN_CH_STATE_RO_x_CH_STATE",0.5908,0.3
"24","IN_CH_STATE_CE_x_FC_COMPUTER",0.5801,0.29
"25","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.5691,0.29
"26","IN_CH_STATE_PI_x_CH_STATE",0.5647,0.28
"27","IN_CH_STATE_MA_x_CH_RURAL",0.5467,0.27
"28","IN_CH_STATE_PI_x_FC_INTERNET",0.5372,0.27
"29","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.4961,0.25
"30","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",0.4941,0.25
"31","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.4819,0.24
"32","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.4041,0.2
"33","STR_TEACHERS_SECONDARY_FUNDEDU",0.3541,0.18
"34","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.346,0.17
"35","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.3396,0.17
"36","IN_CH_STATE_PI_x_FC_SEWAGE",0.2859,0.14
"37","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",0.2585,0.13
"38","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",0.2426,0.12
"39","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.2196,0.11
"40","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.218,0.11
"41","IN_CH_STATE_PB_x_CH_FEDERAL",0.2113,0.11
"42","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.1945,0.1
"43","IN_CH_STATE_CE_x_FC_ELECTR_PUBLIC",0.1832,0.09
"44","IN_CH_STATE_SE_x_FC_HAS_SPORTS_QUAD",0.178,0.09
"45","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",0.1689,0.08
"46","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.1659,0.08
"47","CH_STATE_AP",0.1593,0.08
"48","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.1511,0.08
"49","IN_CH_STATE_PI_x_FC_LIBRARY",0.1251,0.06
"50","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.112,0.06
