"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SP_x_CH_RURAL",2.214,-1.26
"2","IN_CH_STATE_PR_x_CH_RURAL",2.0718,-1.18
"3","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",1.9077,-1.09
"4","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",1.7558,-1
"5","IN_CH_STATE_MA_x_CH_PRIVATE",1.3972,-0.8
"6","IN_CH_STATE_MA_x_FC_INTERNET",1.3578,-0.77
"7","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.1411,-0.65
"8","IN_CH_STATE_SP_x_CH_PRIVATE",0.9977,-0.57
"9","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.9598,-0.55
"10","IN_CH_STATE_PA_x_CH_STATE",0.9503,-0.54
"11","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.799,-0.46
"12","IN_CH_STATE_PA_x_CH_RURAL",0.7841,-0.45
"13","IN_CH_STATE_ES_x_CH_PRIVATE",0.7564,-0.43
"14","STR_TEACHERS_ADVANCED_FUNDEDU",0.7366,-0.42
"15","IN_CH_URBAN_x_FC_INTERNET",0.6365,-0.36
"16","IN_CH_STATE_RS_x_CH_URBAN",0.6341,-0.36
"17","IN_CH_STATE_RJ_x_CH_RURAL",0.6233,-0.36
"18","IN_CH_STATE_x_FC_INTERNET",0.5789,-0.33
"19","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.5697,-0.33
"20","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.5452,-0.31
"21","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.5335,-0.3
"22","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0.4942,-0.28
"23","IN_CH_STATE_BA_x_CH_MUNICIPAL",0.3923,-0.22
"24","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.3674,-0.21
"25","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.3607,-0.21
"26","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.3571,-0.2
"27","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.2856,-0.16
"28","IN_CH_STATE_MG_x_CH_RURAL",0.2504,-0.14
"29","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.2481,-0.14
"30","IN_CH_STATE_SC_x_FC_LIBRARY",0.2355,-0.13
"31","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.2233,-0.13
"32","IN_CH_STATE_SC_x_FC_INTERNET",0.2205,-0.13
"33","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",0.2052,-0.12
"34","FC_LIBRARY",0.181,-0.1
"35","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.1621,-0.09
"36","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.1362,-0.08
"37","FC_ANTENNA_EQUIPMENT",0.1331,-0.08
"38","IN_CH_STATE_MG_x_CH_STATE",0.1327,-0.08
"39","IN_CH_STATE_AL_x_FC_COMPUTER_LAB",0.1207,-0.07
"40","FC_SEWAGE",0.0948,-0.05
"41","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0847,-0.05
"42","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.0845,-0.05
"43","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.0811,-0.05
"44","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.0647,-0.04
"45","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.0583,-0.03
"46","CLASS_STUDENT_TEACHER_RATIO",0.0395,-0.02
"47","FC_INTERNET",0.0221,-0.01
"48","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0216,-0.01
"49","ST_FUND_EDU_TEACHERS",0.0046,0
"50","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0023,0
"51","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",-1e-04,0
"52","IN_CH_STATE_CE_x_CH_MUNICIPAL",-9e-04,0
"53","IN_CH_STATE_RR_x_CH_MUNICIPAL",-0.0014,0
"54","IN_CH_STATE_RR_x_FC_SEWAGE",-0.0053,0
"55","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",-0.0072,0
"56","IN_CH_STATE_AP_x_FC_SEWAGE",-0.009,0.01
"57","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_I",-0.0098,0.01
"58","IN_CH_STATE_AP_x_FC_WATER",-0.0135,0.01
"59","IN_CH_STATE_CE_x_FC_ELECTR_PUBLIC",-0.0171,0.01
"60","STR_TEACHERS_SECONDARY_FUNDEDU",-0.0262,0.01
"61","IN_CH_STATE_AP_x_FC_TV_EQUIPMENT",-0.0394,0.02
"62","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0443,0.03
