"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.5724,-8.89
"2","IN_CH_STATE_BA_x_CH_RURAL",0.4023,-6.25
"3","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.3578,-5.56
"4","IN_CH_STATE_PR_x_CH_RURAL",0.265,-4.12
"5","IN_CH_STATE_MA_x_CH_PRIVATE",0.239,-3.71
"6","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.2285,-3.55
"7","IN_CH_STATE_RJ_x_CH_STATE",0.1584,-2.46
"8","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.1573,-2.44
"9","IN_CH_STATE_SP_x_CH_RURAL",0.1438,-2.23
"10","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.1248,-1.94
"11","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.1243,-1.93
"12","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.1211,-1.88
"13","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.1174,-1.82
"14","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.1066,-1.66
"15","IN_CH_STATE_ES_x_CH_FEDERAL",0.086,-1.34
"16","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.0845,-1.31
"17","FC_ANTENNA_EQUIPMENT",0.058,-0.9
"18","IN_CH_STATE_RS_x_FC_LIBRARY",0.0529,-0.82
"19","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0493,-0.77
"20","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.0427,-0.66
"21","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.0419,-0.65
"22","FC_COMPUTER",0.0403,-0.63
"23","IN_CH_STATE_PA_x_CH_RURAL",0.0282,-0.44
"24","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",0.0279,-0.43
"25","CH_STATE_MG",0.0241,-0.37
"26","IN_CH_STATE_PA_x_CH_STATE",0.0232,-0.36
"27","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.0221,-0.34
"28","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.0198,-0.31
"29","IN_CH_STATE_SC_x_FC_COMPUTER",0.0198,-0.31
"30","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.0166,-0.26
"31","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0045,-0.07
"32","FC_TV_EQUIPMENT",0.0043,-0.07
"33","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.0039,-0.06
"34","FC_INTERNET",0.0019,-0.03
"35","ST_FUND_EDU_TEACHERS",9e-04,-0.01
"36","CH_CLASSES_FUNDAMENTAL_EDU_I",1e-04,0
"37","IN_CH_STATE_AP_x_CH_RURAL",-8e-04,0.01
"38","IN_CH_STATE_SE_x_CH_PRIVATE",-0.0012,0.02
"39","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",-0.0045,0.07
"40","IN_CH_STATE_PB_x_CH_PRIVATE",-0.0083,0.13
"41","IN_CH_STATE_ES_x_CH_RURAL",-0.0089,0.14
"42","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",-0.0141,0.22
"43","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",-0.0176,0.27
"44","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",-0.021,0.33
"45","IN_CH_STATE_RN_x_CH_RURAL",-0.023,0.36
"46","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.0246,0.38
"47","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",-0.0288,0.45
"48","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-0.0333,0.52
"49","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",-0.0474,0.74
"50","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",-0.0608,0.94
"51","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",-0.0664,1.03
"52","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",-0.0732,1.14
"53","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-0.0934,1.45
"54","FC_WATER",-0.0956,1.49
"55","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.1061,1.65
"56","IN_CH_STATE_PI_x_CH_URBAN",-0.1113,1.73
"57","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",-0.1136,1.76
"58","IN_CH_STATE_PI_x_CH_STATE",-0.1363,2.12
"59","IN_CH_STATE_PI_x_FC_SEWAGE",-0.1903,2.96
"60","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.2252,3.5
"61","STR_TEACHERS_SECONDARY_FUNDEDU",-0.2278,3.54
"62","IN_CH_STATE_CE_x_CH_RURAL",-0.2326,3.61
"63","IN_CH_STATE_SE_x_CH_STATE",-0.3482,5.41
"64","IN_CH_STATE_RN_x_CH_PRIVATE",-0.4009,6.23
