"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SP_x_CH_RURAL",2.5481,-1.42
"2","IN_CH_STATE_PR_x_CH_RURAL",2.4186,-1.34
"3","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",2.3686,-1.32
"4","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",2.0531,-1.14
"5","IN_CH_STATE_MA_x_CH_PRIVATE",1.6506,-0.92
"6","IN_CH_STATE_MA_x_FC_INTERNET",1.564,-0.87
"7","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.3966,-0.78
"8","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",1.1352,-0.63
"9","IN_CH_STATE_SP_x_CH_PRIVATE",1.0895,-0.61
"10","IN_CH_STATE_PA_x_CH_STATE",1.066,-0.59
"11","IN_CH_STATE_PA_x_CH_RURAL",0.9478,-0.53
"12","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.9072,-0.5
"13","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.9048,-0.5
"14","STR_TEACHERS_ADVANCED_FUNDEDU",0.8702,-0.48
"15","IN_CH_URBAN_x_FC_INTERNET",0.8588,-0.48
"16","IN_CH_STATE_ES_x_CH_PRIVATE",0.7663,-0.43
"17","IN_CH_STATE_RS_x_CH_URBAN",0.7351,-0.41
"18","IN_CH_STATE_x_FC_INTERNET",0.6774,-0.38
"19","IN_CH_STATE_RJ_x_CH_RURAL",0.6736,-0.37
"20","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.6515,-0.36
"21","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.6133,-0.34
"22","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0.5924,-0.33
"23","IN_CH_STATE_BA_x_CH_MUNICIPAL",0.543,-0.3
"24","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.5284,-0.29
"25","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.4408,-0.24
"26","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.3958,-0.22
"27","IN_CH_STATE_MG_x_CH_RURAL",0.3883,-0.22
"28","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.3279,-0.18
"29","IN_CH_STATE_SC_x_FC_INTERNET",0.3083,-0.17
"30","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.3017,-0.17
"31","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.2448,-0.14
"32","IN_CH_STATE_SC_x_FC_LIBRARY",0.2238,-0.12
"33","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.2081,-0.12
"34","FC_LIBRARY",0.1975,-0.11
"35","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",0.1972,-0.11
