"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",64.8633,12.79
"2","IN_CH_FEDERAL_x_FC_LIBRARY",5.0454,0.99
"3","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",3.2213,0.64
"4","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.5468,0.11
"5","IN_CH_STATE_MG_x_CH_RURAL",0.2961,0.06
"6","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.2616,0.05
"7","CLASS_STUDENT_TEACHER_RATIO",0.0896,0.02
"8","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.0125,0
"9","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",-0.0016,0
"10","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0035,0
"11","IN_CH_STATE_RS_x_CH_URBAN",-0.0249,0
"12","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.0845,-0.02
"13","FC_COMPUTER",-0.0964,-0.02
"14","IN_CH_STATE_SC_x_FC_COMPUTER",-0.1112,-0.02
"15","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.2687,-0.05
"16","IN_CH_STATE_x_FC_LIBRARY",-0.3314,-0.07
"17","IN_CH_STATE_PR_x_CH_RURAL",-0.3538,-0.07
"18","IN_CH_STATE_SC_x_FC_INTERNET",-0.3934,-0.08
"19","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.3995,-0.08
"20","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-1.3779,-0.27
"21","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",-1.8941,-0.37
"22","IN_CH_RURAL_x_FC_SCIENCE_LAB",-1.9943,-0.39
"23","IN_CH_STATE_SC_x_CH_PRIVATE",-2.0111,-0.4
"24","FC_LIBRARY",-2.0468,-0.4
"25","FC_COMPUTER_LAB",-2.2225,-0.44
