"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.1111,0.58
"2","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.1636,0.09
"3","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.0523,0.03
"4","CLASS_STUDENT_TEACHER_RATIO",0.0225,0.01
"5","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.0804,-0.04
"6","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",-0.2355,-0.12
"7","IN_CH_STATE_SC_x_CH_PRIVATE",-0.2933,-0.15
"8","FC_LIBRARY",-0.3798,-0.2
"9","IN_CH_STATE_x_FC_LIBRARY",-0.4143,-0.22
"10","FC_COMPUTER_LAB",-0.557,-0.29
