"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.4109,1.13
"2","IN_CH_STATE_SC_x_FC_LIBRARY",0.3644,1
"3","IN_CH_STATE_x_FC_LIBRARY",0.2023,0.56
"4","IN_CH_RURAL_x_FC_LIBRARY",0.1637,0.45
"5","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.1489,0.41
"6","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.1022,0.28
"7","IN_CH_STATE_x_FC_COMPUTER_LAB",0.0535,0.15
"8","FC_ROOMS_USED",-0.002,-0.01
"9","FC_ROOMS_AVAILABLE",-0.0028,-0.01
"10","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",-0.0117,-0.03
"11","CH_SCHOOL_LARGE_SIZE",-0.0331,-0.09
"12","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.384,-1.05
