"","Variable","Coefficient","Coefficient/ATE"
"1","CH_SCHOOL_LARGE_SIZE",0.0373,-0.04
"2","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0338,-0.04
"3","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.0128,-0.01
"4","CLASS_STUDENT_TEACHER_RATIO",0.006,-0.01
"5","FC_ROOMS_USED",0.0019,0
"6","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",7e-04,0
"7","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0119,0.01
"8","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",-0.0324,0.04
"9","IN_CH_RURAL_x_FC_LIBRARY",-0.0341,0.04
"10","FC_INTERNET",-0.0452,0.05
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.1016,0.11
"12","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",-0.1596,0.18
"13","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.1803,0.2
"14","IN_CH_STATE_SC_x_FC_LIBRARY",-0.216,0.24
"15","FC_COMPUTER_LAB",-0.2742,0.31
"16","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.3298,0.37
"17","IN_CH_STATE_x_FC_LIBRARY",-0.3484,0.39
