"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_x_FC_COMPUTER_LAB",0.3392,-4.44
"2","FC_LIBRARY",0.276,-3.61
"3","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.2322,-3.04
"4","FC_COMPUTER_LAB",0.1414,-1.85
"5","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.1127,-1.47
"6","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.104,-1.36
"7","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0745,-0.97
"8","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.0524,-0.69
"9","FC_INTERNET",0.0512,-0.67
"10","FC_ANTENNA_EQUIPMENT",0.0494,-0.65
"11","IN_CH_STATE_RS_x_FC_WATER_PUBLIC",0.0307,-0.4
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0273,-0.36
"13","STR_TEACHERS_SECONDARY_FUNDEDU",0.0242,-0.32
"14","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.0208,-0.27
"15","FC_COMPUTER",0.0091,-0.12
"16","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0073,-0.1
"17","IN_CH_STATE_PR_x_CH_RURAL",0.005,-0.07
"18","IN_CH_STATE_SC_x_FC_INTERNET",0.0035,-0.05
"19","IN_CH_STATE_SC_x_FC_LIBRARY",0.0027,-0.04
"20","IN_CH_STATE_SC_x_CH_URBAN",1e-04,0
"21","ST_FUND_EDU_TEACHERS",-0.001,0.01
"22","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",-0.0031,0.04
"23","CH_FUNDAMENTAL_EDU_T",-0.0036,0.05
"24","CLASS_STUDENT_TEACHER_RATIO",-0.0076,0.1
"25","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",-0.0114,0.15
"26","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",-0.0144,0.19
"27","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.0201,0.26
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",-0.0208,0.27
"29","IN_CH_STATE_MG_x_CH_RURAL",-0.1053,1.38
"30","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.1959,2.56
"31","STR_TEACHERS_ONLY_FUNDEDU",-0.3865,5.06
"32","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",-0.7465,9.77
"33","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-5.831,76.3
