"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.7126,1.64
"2","IN_CH_STATE_x_FC_COMPUTER_LAB",1.6256,1.55
"3","FC_LIBRARY",1.2137,1.16
"4","FC_COMPUTER_LAB",1.1118,1.06
"5","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.7219,0.69
"6","IN_CH_STATE_PR_x_CH_RURAL",0.6062,0.58
"7","IN_CH_STATE_SC_x_FC_LIBRARY",0.5479,0.52
"8","STR_TEACHERS_SECONDARY_FUNDEDU",0.4854,0.46
"9","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.3847,0.37
"10","IN_CH_STATE_x_FC_LIBRARY",0.3758,0.36
"11","FC_INTERNET",0.3549,0.34
"12","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.3478,0.33
"13","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.3394,0.32
"14","FC_ANTENNA_EQUIPMENT",0.3384,0.32
"15","FC_COMPUTER",0.3087,0.29
"16","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.2913,0.28
"17","IN_CH_STATE_RS_x_FC_LIBRARY",0.2695,0.26
"18","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.2608,0.25
"19","IN_CH_STATE_SC_x_CH_URBAN",0.2155,0.21
"20","IN_CH_STATE_SC_x_FC_INTERNET",0.0884,0.08
"21","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.0391,0.04
"22","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",0.0364,0.03
"23","IN_CH_STATE_MG_x_FC_LIBRARY",-0.009,-0.01
"24","FC_ROOMS_USED",-0.0156,-0.01
"25","IN_CH_PRIVATE_x_FC_WATER",-0.0232,-0.02
"26","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",-0.0315,-0.03
"27","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",-0.0362,-0.03
"28","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",-0.0443,-0.04
"29","CLASS_STUDENT_TEACHER_RATIO",-0.0574,-0.05
"30","CH_PRIVATE",-0.0787,-0.08
"31","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.1937,-0.18
"32","IN_CH_STATE_MG_x_CH_RURAL",-0.2101,-0.2
"33","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.2689,-0.26
"34","STR_TEACHERS_ONLY_FUNDEDU",-1.9312,-1.84
"35","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-9.8559,-9.41
