"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ONLY_FUNDEDU",0.4612,0.47
"2","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.1715,0.17
"3","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.0533,0.05
"4","CLASS_STUDENT_TEACHER_RATIO",0.0414,0.04
"5","FC_ROOMS_USED",0.0109,0.01
"6","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.0091,0.01
"7","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.054,-0.05
"8","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.073,-0.07
"9","FC_COMPUTER",-0.0775,-0.08
"10","IN_CH_STATE_SC_x_CH_URBAN",-0.0856,-0.09
"11","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",-0.1431,-0.14
"12","FC_ANTENNA_EQUIPMENT",-0.1433,-0.14
"13","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",-0.1479,-0.15
"14","FC_INTERNET",-0.1623,-0.16
"15","STR_TEACHERS_SECONDARY_FUNDEDU",-0.2019,-0.2
"16","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.2149,-0.22
"17","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.2723,-0.28
"18","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-0.2768,-0.28
"19","IN_CH_STATE_PR_x_CH_RURAL",-0.2928,-0.3
"20","FC_LIBRARY",-0.5575,-0.56
"21","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",-0.579,-0.59
"22","IN_CH_STATE_SC_x_FC_LIBRARY",-0.6666,-0.67
"23","IN_CH_STATE_x_FC_LIBRARY",-0.7658,-0.77
"24","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.8069,-0.82
"25","FC_COMPUTER_LAB",-0.9459,-0.96
"26","IN_CH_RURAL_x_FC_SCIENCE_LAB",-1.275,-1.29
