"","Variable","Coefficient","Coefficient/ATE"
"1","FC_LIBRARY",0.1756,0.08
"2","IN_CH_STATE_x_FC_COMPUTER_LAB",0.1529,0.07
"3","FC_COMPUTER_LAB",0.1142,0.05
"4","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.0599,0.03
"5","IN_CH_STATE_x_FC_LIBRARY",0.0375,0.02
"6","IN_CH_STATE_SC_x_FC_INTERNET",0.0215,0.01
"7","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0074,0
"8","CLASS_STUDENT_TEACHER_RATIO",-0.0027,0
"9","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.0135,-0.01
"10","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0815,-0.04
