"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.0561,-0.46
"2","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.0539,-0.44
"3","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.0205,-0.17
"4","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.0156,-0.13
"5","IN_CH_STATE_SP_x_FC_HAS_SPORTS_QUAD",0.0117,-0.1
"6","IN_CH_STATE_MG_x_CH_RURAL",0.0109,-0.09
"7","CLASS_STUDENT_TEACHER_RATIO",0.0041,-0.03
"8","ST_FUND_EDU_TEACHERS",8e-04,-0.01
"9","FC_ROOMS_USED",3e-04,0
"10","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.001,0.01
"11","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",-0.0017,0.01
"12","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.0067,0.06
"13","STR_TEACHERS_SECONDARY_FUNDEDU",-0.0235,0.19
"14","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-0.0284,0.23
"15","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.0384,0.32
"16","IN_CH_STATE_PR_x_CH_RURAL",-0.0502,0.41
"17","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.0611,0.5
"18","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.065,0.54
"19","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",-0.0725,0.6
"20","FC_COMPUTER_LAB",-0.0857,0.71
"21","FC_LIBRARY",-0.2172,1.79
"22","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.2475,2.04
