"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.9482,-2.5
"2","IN_CH_STATE_x_FC_LIBRARY",0.7549,-1.99
"3","FC_COMPUTER_LAB",0.7368,-1.94
"4","IN_CH_STATE_SC_x_FC_LIBRARY",0.4908,-1.29
"5","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.3353,-0.88
"6","IN_CH_STATE_PR_x_CH_RURAL",0.2794,-0.74
"7","IN_CH_STATE_RS_x_CH_URBAN",0.2479,-0.65
"8","IN_CH_STATE_SC_x_CH_URBAN",0.2196,-0.58
"9","FC_LIBRARY",0.2156,-0.57
"10","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.2019,-0.53
"11","STR_TEACHERS_SECONDARY_FUNDEDU",0.1919,-0.51
"12","FC_COMPUTER",0.167,-0.44
"13","IN_CH_STATE_x_FC_COMPUTER_LAB",0.1561,-0.41
"14","FC_ANTENNA_EQUIPMENT",0.1252,-0.33
"15","FC_INTERNET",0.1064,-0.28
"16","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0828,-0.22
"17","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.0728,-0.19
"18","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0524,-0.14
"19","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0295,-0.08
"20","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",0.0053,-0.01
"21","FC_ROOMS_USED",-0.0093,0.02
"22","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER_PUBLIC",-0.0103,0.03
"23","CLASS_STUDENT_TEACHER_RATIO",-0.0295,0.08
"24","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.1023,0.27
"25","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.2153,0.57
"26","STR_TEACHERS_ONLY_FUNDEDU",-0.2672,0.7
