"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.9887,-1.2
"2","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.7552,-0.46
"3","IN_CH_STATE_SC_x_CH_MUNICIPAL",0.7447,-0.45
"4","STR_TEACHERS_SECONDARY_FUNDEDU",0.6916,-0.42
"5","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.2663,-0.16
"6","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.2382,-0.14
"7","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.2347,-0.14
"8","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.1809,-0.11
"9","IN_CH_STATE_SC_x_FC_INTERNET",0.1544,-0.09
"10","FC_TV_EQUIPMENT",0.1477,-0.09
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",0.1367,-0.08
"12","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1349,-0.08
"13","IN_CH_STATE_SC_x_CH_URBAN",0.1195,-0.07
"14","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",0.1087,-0.07
"15","IN_CH_STATE_RS_x_CH_STATE",0.0619,-0.04
"16","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",-0.0108,0.01
"17","CLASS_STUDENT_TEACHER_RATIO",-0.0196,0.01
"18","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.0252,0.02
"19","CLASS_SIZE",-0.0287,0.02
"20","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",-0.0371,0.02
"21","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",-0.1993,0.12
"22","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.2318,0.14
"23","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-0.2648,0.16
"24","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",-0.3242,0.2
"25","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.3602,0.22
"26","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.7278,0.44
"27","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",-0.9669,0.59
"28","IN_CH_STATE_ES_x_CH_PRIVATE",-1.3293,0.8
"29","IN_CH_STATE_CE_x_CH_STATE",-3.2993,2
"30","STR_TEACHERS_ONLY_FUNDEDU",-5.5523,3.36
