"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.0056,-0.5
"2","IN_CH_STATE_RS_x_CH_PRIVATE",0.6743,-0.34
"3","STR_TEACHERS_SECONDARY_FUNDEDU",0.5133,-0.26
"4","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.502,-0.25
"5","FC_TV_EQUIPMENT",0.4509,-0.22
"6","IN_CH_STATE_SC_x_CH_MUNICIPAL",0.4252,-0.21
"7","IN_CH_STATE_PE_x_CH_STATE",0.4188,-0.21
"8","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.4167,-0.21
"9","IN_CH_STATE_RS_x_CH_STATE",0.343,-0.17
"10","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.292,-0.15
"11","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.2599,-0.13
"12","IN_CH_STATE_SC_x_CH_URBAN",0.2139,-0.11
"13","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1108,-0.06
"14","IN_CH_STATE_SP_x_CH_RURAL",0.0919,-0.05
"15","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.0683,-0.03
"16","IN_CH_STATE_PR_x_FC_ANTENNA_EQUIPMENT",0.0652,-0.03
"17","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.0582,-0.03
"18","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0373,-0.02
"19","FC_ANTENNA_EQUIPMENT",0.0258,-0.01
"20","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0,0
"21","CH_MATRI_FUNDAMENTAL_EDU_T",-1e-04,0
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",-2e-04,0
"23","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.001,0
"24","FC_ROOMS_USED",-0.0017,0
"25","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.0025,0
"26","ST_FUND_EDU_TEACHERS",-0.0033,0
"27","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.0055,0
"28","IN_CH_STATE_CE_x_CH_URBAN",-0.0171,0.01
"29","IN_CH_STATE_RO_x_FC_HAS_SPORTS_QUAD",-0.025,0.01
"30","IN_CH_STATE_RJ_x_CH_RURAL",-0.028,0.01
"31","CLASS_STUDENT_TEACHER_RATIO",-0.0326,0.02
"32","CH_FUNDAMENTAL_EDU_T",-0.0394,0.02
"33","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_I",-0.0418,0.02
"34","CH_STATE_CE",-0.0485,0.02
"35","IN_CH_STATE_MG_x_CH_RURAL",-0.0534,0.03
"36","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.1021,0.05
"37","CH_FEDERAL",-0.1098,0.05
"38","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.1252,0.06
"39","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.1406,0.07
"40","IN_CH_STATE_TO_x_FC_LIBRARY",-0.1549,0.08
"41","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",-0.1691,0.08
"42","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.1691,0.08
"43","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",-0.2135,0.11
"44","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.2162,0.11
"45","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_T",-0.2167,0.11
"46","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.2214,0.11
"47","IN_CH_STATE_PB_x_CH_MUNICIPAL",-0.2777,0.14
"48","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-0.2962,0.15
"49","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.318,0.16
"50","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_T",-0.3219,0.16
"51","IN_CH_STATE_RO_x_CH_STATE",-0.3971,0.2
"52","IN_CH_STATE_ES_x_CH_PRIVATE",-0.4191,0.21
"53","IN_CH_STATE_RN_x_FC_COMPUTER",-0.4541,0.23
"54","IN_CH_STATE_PI_x_CH_PRIVATE",-0.4929,0.25
"55","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-0.6396,0.32
"56","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-1.1343,0.56
"57","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",-1.2167,0.61
"58","STR_TEACHERS_ONLY_FUNDEDU",-1.7432,0.87
"59","IN_CH_FEDERAL_x_FC_WATER",-3.1632,1.57
"60","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-9.4401,4.7
