"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",2.3102,-1.22
"2","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.8954,-1
"3","STR_TEACHERS_SECONDARY_FUNDEDU",0.8807,-0.47
"4","IN_CH_STATE_RS_x_CH_PRIVATE",0.782,-0.41
"5","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.635,-0.34
"6","FC_TV_EQUIPMENT",0.5452,-0.29
"7","IN_CH_STATE_SC_x_CH_MUNICIPAL",0.5093,-0.27
"8","IN_CH_STATE_RS_x_CH_STATE",0.485,-0.26
"9","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.4152,-0.22
"10","IN_CH_STATE_SC_x_CH_URBAN",0.4032,-0.21
"11","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.2196,-0.12
"12","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.2164,-0.11
"13","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",0.1774,-0.09
"14","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.1347,-0.07
"15","IN_CH_STATE_PR_x_FC_ANTENNA_EQUIPMENT",0.0977,-0.05
"16","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0975,-0.05
"17","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.067,-0.04
"18","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.0464,-0.02
"19","IN_CH_STATE_SP_x_CH_RURAL",0.0401,-0.02
"20","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",0.0297,-0.02
"21","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0034,0
"22","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0,0
"23","CH_MATRI_FUNDAMENTAL_EDU_T",-3e-04,0
"24","IN_CH_STATE_PB_x_FC_WATER",-3e-04,0
"25","ST_FUND_EDU_TEACHERS",-6e-04,0
"26","CLASS_SIZE",-0.0011,0
"27","FC_ROOMS_USED",-0.0059,0
"28","IN_CH_STATE_CE_x_FC_LIBRARY",-0.0096,0.01
"29","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_I",-0.0243,0.01
"30","IN_CH_STATE_PB_x_FC_TV_EQUIPMENT",-0.0302,0.02
"31","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",-0.031,0.02
"32","CLASS_STUDENT_TEACHER_RATIO",-0.0432,0.02
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.0518,0.03
"34","CH_STATE_PB",-0.0522,0.03
"35","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.0833,0.04
"36","IN_CH_STATE_TO_x_FC_LIBRARY",-0.1173,0.06
"37","IN_CH_STATE_CE_x_CH_URBAN",-0.1578,0.08
"38","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.1635,0.09
"39","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",-0.1763,0.09
"40","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.1771,0.09
"41","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-0.1984,0.11
"42","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-0.2066,0.11
"43","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.2189,0.12
"44","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.2375,0.13
"45","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.2445,0.13
"46","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.3128,0.17
"47","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.332,0.18
"48","IN_CH_STATE_RN_x_FC_COMPUTER",-0.3755,0.2
"49","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.3903,0.21
"50","IN_CH_STATE_PI_x_CH_PRIVATE",-0.3931,0.21
"51","IN_CH_STATE_RN_x_CH_STATE",-0.4309,0.23
"52","IN_CH_STATE_RO_x_CH_STATE",-0.4943,0.26
"53","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_T",-0.506,0.27
"54","IN_CH_STATE_ES_x_CH_PRIVATE",-1.0914,0.58
"55","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-1.1796,0.63
"56","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-1.2658,0.67
"57","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",-1.827,0.97
"58","STR_TEACHERS_ONLY_FUNDEDU",-4.0533,2.15
"59","CH_FEDERAL",-4.3492,2.31
"60","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-5.1281,2.72
