"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",2.293,-4.52
"2","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",0.9108,-1.8
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",0.8989,-1.77
"4","STR_TEACHERS_ONLY_FUNDEDU",0.8649,-1.71
"5","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.418,-0.82
"6","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.2885,-0.57
"7","IN_CH_STATE_RN_x_CH_STATE",0.2323,-0.46
"8","IN_CH_STATE_CE_x_CH_STATE",0.108,-0.21
"9","IN_CH_STATE_ES_x_CH_PRIVATE",0.1076,-0.21
"10","CH_FEDERAL",0.1051,-0.21
"11","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.1043,-0.21
"12","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",0.0955,-0.19
"13","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.0889,-0.18
"14","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.0754,-0.15
"15","CH_PRIVATE",0.0672,-0.13
"16","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.0644,-0.13
"17","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",0.0639,-0.13
"18","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.0638,-0.13
"19","IN_CH_STATE_CE_x_CH_URBAN",0.0632,-0.12
"20","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_T",0.055,-0.11
"21","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",0.0469,-0.09
"22","IN_CH_STATE_RO_x_CH_STATE",0.0461,-0.09
"23","IN_CH_STATE_RO_x_CH_URBAN",0.0433,-0.09
"24","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.0415,-0.08
"25","IN_CH_STATE_SP_x_CH_PRIVATE",0.038,-0.07
"26","IN_CH_STATE_PI_x_CH_PRIVATE",0.0369,-0.07
"27","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.0343,-0.07
"28","IN_CH_STATE_TO_x_FC_INTERNET",0.0342,-0.07
"29","IN_CH_STATE_CE_x_FC_LIBRARY",0.0306,-0.06
"30","IN_CH_STATE_RN_x_FC_COMPUTER",0.0302,-0.06
"31","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.0296,-0.06
"32","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.0267,-0.05
"33","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.0239,-0.05
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0229,-0.05
"35","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0195,-0.04
"36","IN_CH_STATE_RJ_x_CH_RURAL",0.0178,-0.04
