"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ONLY_FUNDEDU",0.8017,12.02
"2","IN_CH_STATE_ES_x_CH_PRIVATE",0.0623,0.93
"3","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.0556,0.83
"4","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.0296,0.44
"5","CLASS_SIZE",0.0049,0.07
"6","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0041,0.06
"7","CLASS_STUDENT_TEACHER_RATIO",0.0022,0.03
"8","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.0049,-0.07
"9","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.0055,-0.08
"10","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",-0.0212,-0.32
"11","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",-0.0263,-0.39
"12","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0388,-0.58
"13","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.0472,-0.71
"14","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.0525,-0.79
"15","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.0564,-0.85
"16","IN_CH_STATE_SC_x_FC_INTERNET",-0.0616,-0.92
"17","STR_TEACHERS_SECONDARY_FUNDEDU",-0.0657,-0.98
"18","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.2489,-3.73
