"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ONLY_FUNDEDU",1.6199,-3.61
"2","IN_CH_STATE_CE_x_CH_STATE",0.8063,-1.8
"3","IN_CH_STATE_ES_x_CH_PRIVATE",0.5385,-1.2
"4","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.2234,-0.5
"5","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0914,-0.2
"6","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",0.0842,-0.19
"7","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.077,-0.17
"8","IN_CH_STATE_SP_x_CH_PRIVATE",0.0764,-0.17
"9","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.0194,-0.04
"10","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0169,-0.04
"11","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.0157,-0.03
"12","CLASS_STUDENT_TEACHER_RATIO",0.0073,-0.02
"13","IN_CH_STATE_PB_x_FC_INTERNET",0.0071,-0.02
"14","CLASS_SIZE",0.007,-0.02
"15","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.0067,-0.01
"16","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0,0
"17","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",-4e-04,0
"18","IN_CH_STATE_SP_x_CH_MUNICIPAL",-0.0085,0.02
"19","FC_TV_EQUIPMENT",-0.0182,0.04
"20","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",-0.0494,0.11
"21","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.0637,0.14
"22","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0719,0.16
"23","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.0868,0.19
"24","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.099,0.22
"25","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",-0.0997,0.22
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.102,0.23
"27","IN_CH_STATE_SC_x_FC_INTERNET",-0.1061,0.24
"28","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",-0.1285,0.29
"29","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.1325,0.3
"30","STR_TEACHERS_SECONDARY_FUNDEDU",-0.1964,0.44
"31","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.5814,1.29
