"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.6346,0.21
"2","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.4797,0.16
"3","STR_TEACHERS_SECONDARY_FUNDEDU",0.4519,0.15
"4","FC_TV_EQUIPMENT",0.3556,0.12
"5","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",0.3119,0.11
"6","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",0.2337,0.08
"7","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.2159,0.07
"8","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1834,0.06
"9","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.1759,0.06
"10","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.148,0.05
"11","FC_ELECTR_PUBLIC",0.1361,0.05
"12","FC_ANTENNA_EQUIPMENT",0.1292,0.04
"13","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.1179,0.04
"14","IN_CH_STATE_SC_x_FC_SEWAGE",0.1125,0.04
"15","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0848,0.03
"16","IN_CH_STATE_SC_x_CH_URBAN",0.0788,0.03
"17","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0476,0.02
"18","IN_CH_MUNICIPAL_x_FC_INTERNET",0.0387,0.01
"19","IN_CH_STATE_PR_x_FC_ANTENNA_EQUIPMENT",0.0337,0.01
"20","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.0206,0.01
"21","IN_CH_STATE_RS_x_CH_STATE",0.0185,0.01
"22","IN_CH_STATE_SC_x_FC_ELECTR",0.0092,0
"23","IN_CH_STATE_SC_x_FC_WATER",0.0063,0
"24","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.001,0
"25","CH_MATRI_FUNDAMENTAL_EDU_T",-1e-04,0
"26","ST_TOTAL_STAFF",-4e-04,0
"27","FC_NUMBER_COMPUTERS",-9e-04,0
"28","IN_CH_STATE_RO_x_FC_ANTENNA_EQUIPMENT",-0.0024,0
"29","FC_ROOMS_USED",-0.0031,0
"30","ST_FUND_EDU_TEACHERS",-0.007,0
"31","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.0077,0
"32","CLASS_STUDENT_TEACHER_RATIO",-0.0261,-0.01
"33","CH_FUNDAMENTAL_EDU_T",-0.037,-0.01
"34","IN_CH_STATE_MG_x_CH_STATE",-0.0408,-0.01
"35","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-0.0416,-0.01
"36","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.0478,-0.02
"37","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",-0.0582,-0.02
"38","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0606,-0.02
"39","IN_CH_STATE_RN_x_CH_FUNDAMENTAL_EDU_T",-0.066,-0.02
"40","IN_CH_STATE_RN_x_FC_COMPUTER",-0.1247,-0.04
"41","IN_CH_STATE_RO_x_FC_LIBRARY",-0.1269,-0.04
"42","IN_CH_STATE_TO_x_FC_COMPUTER",-0.1485,-0.05
"43","IN_CH_PRIVATE_x_FC_WATER",-0.1512,-0.05
"44","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.163,-0.06
"45","IN_CH_STATE_RJ_x_CH_RURAL",-0.1788,-0.06
"46","IN_CH_STATE_RJ_x_CH_STATE",-0.1807,-0.06
"47","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.2036,-0.07
"48","IN_CH_STATE_PB_x_CH_MUNICIPAL",-0.2109,-0.07
"49","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.2599,-0.09
"50","CH_PRIVATE",-0.2659,-0.09
"51","IN_CH_STATE_CE_x_CH_MUNICIPAL",-0.2876,-0.1
"52","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",-0.306,-0.1
"53","IN_CH_STATE_RN_x_CH_FUNDAMENTAL_EDU_I",-0.3488,-0.12
"54","CH_STATE_RO",-0.401,-0.14
"55","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.4234,-0.14
"56","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.4446,-0.15
"57","IN_CH_STATE_TO_x_FC_LIBRARY",-0.4753,-0.16
"58","IN_CH_STATE_RJ_x_CH_PRIVATE",-0.5134,-0.17
"59","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-0.5185,-0.17
"60","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.5504,-0.19
"61","IN_CH_STATE_PI_x_CH_PRIVATE",-1.2388,-0.42
"62","STR_TEACHERS_ONLY_FUNDEDU",-1.5844,-0.53
"63","IN_CH_STATE_SC_x_CH_FEDERAL",-6.4699,-2.18
"64","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-14.3228,-4.83
