"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.4747,0.62
"2","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.7954,0.33
"3","STR_TEACHERS_SECONDARY_FUNDEDU",0.6324,0.26
"4","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.3721,0.16
"5","IN_CH_STATE_SC_x_CH_MUNICIPAL",0.286,0.12
"6","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",0.2846,0.12
"7","FC_TV_EQUIPMENT",0.2656,0.11
"8","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.2525,0.11
"9","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",0.2064,0.09
"10","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.1852,0.08
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.184,0.08
"12","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1762,0.07
"13","IN_CH_STATE_SC_x_CH_URBAN",0.1218,0.05
"14","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.1202,0.05
"15","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0917,0.04
"16","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.0679,0.03
"17","IN_CH_STATE_SC_x_FC_INTERNET",0.0552,0.02
"18","IN_CH_MUNICIPAL_x_FC_INTERNET",0.0147,0.01
"19","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.0092,0
"20","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0,0
"21","ST_TOTAL_STAFF",-3e-04,0
"22","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0034,0
"23","FC_ROOMS_USED",-0.0037,0
"24","IN_CH_FEDERAL_x_FC_WATER",-0.0062,0
"25","CLASS_SIZE",-0.0066,0
"26","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0087,0
"27","CH_PRIVATE",-0.0235,-0.01
"28","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.0237,-0.01
"29","CLASS_STUDENT_TEACHER_RATIO",-0.027,-0.01
"30","IN_CH_STATE_CE_x_FC_LIBRARY",-0.0434,-0.02
"31","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.0468,-0.02
"32","IN_CH_STATE_CE_x_CH_URBAN",-0.0689,-0.03
"33","IN_CH_STATE_TO_x_FC_LIBRARY",-0.07,-0.03
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.0719,-0.03
"35","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.0777,-0.03
"36","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",-0.0883,-0.04
"37","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_T",-0.0973,-0.04
"38","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.0988,-0.04
"39","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",-0.1616,-0.07
"40","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.1691,-0.07
"41","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-0.1864,-0.08
"42","IN_CH_STATE_SP_x_CH_PRIVATE",-0.203,-0.08
"43","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",-0.2224,-0.09
"44","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.2315,-0.1
"45","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.2447,-0.1
"46","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.2638,-0.11
"47","IN_CH_STATE_RN_x_CH_STATE",-0.5662,-0.24
"48","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-0.6623,-0.28
"49","IN_CH_STATE_ES_x_CH_PRIVATE",-0.8123,-0.34
"50","IN_CH_STATE_CE_x_CH_STATE",-0.8861,-0.37
"51","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",-1.1397,-0.48
"52","CH_FEDERAL",-2.4714,-1.03
"53","STR_TEACHERS_ONLY_FUNDEDU",-3.4664,-1.45
