"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ONLY_FUNDEDU",2.0488,8.52
"2","CH_FEDERAL",1.6264,6.77
"3","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.5071,2.11
"4","IN_CH_STATE_CE_x_CH_STATE",0.3557,1.48
"5","IN_CH_STATE_ES_x_CH_PRIVATE",0.3557,1.48
"6","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.3281,1.37
"7","IN_CH_STATE_RN_x_CH_STATE",0.2351,0.98
"8","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.1889,0.79
"9","IN_CH_STATE_SP_x_CH_PRIVATE",0.1547,0.64
"10","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.1501,0.62
"11","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",0.146,0.61
"12","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",0.1335,0.56
"13","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.1205,0.5
"14","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.1153,0.48
"15","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.1112,0.46
"16","IN_CH_STATE_TO_x_FC_LIBRARY",0.1013,0.42
"17","IN_CH_STATE_RO_x_CH_STATE",0.0982,0.41
"18","IN_CH_STATE_BA_x_CH_STATE",0.0863,0.36
"19","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.086,0.36
"20","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.0683,0.28
"21","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.0682,0.28
"22","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",0.0612,0.25
"23","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_T",0.0611,0.25
"24","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0471,0.2
"25","IN_CH_STATE_PB_x_CH_URBAN",0.0384,0.16
"26","CH_PRIVATE",0.0383,0.16
"27","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.0293,0.12
"28","IN_CH_STATE_PI_x_CH_PRIVATE",0.016,0.07
"29","CLASS_STUDENT_TEACHER_RATIO",0.0141,0.06
"30","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0096,0.04
"31","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.0054,0.02
"32","CLASS_SIZE",0.0051,0.02
"33","FC_ROOMS_USED",0.0026,0.01
"34","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0022,0.01
"35","IN_CH_FEDERAL_x_FC_WATER",0.0016,0.01
"36","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",9e-04,0
"37","ST_TOTAL_STAFF",2e-04,0
"38","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",-1e-04,0
"39","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.0046,-0.02
"40","IN_CH_STATE_PR_x_FC_ANTENNA_EQUIPMENT",-0.021,-0.09
"41","IN_CH_STATE_SC_x_FC_INTERNET",-0.0229,-0.1
"42","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",-0.0256,-0.11
"43","IN_CH_MUNICIPAL_x_FC_INTERNET",-0.0281,-0.12
"44","IN_CH_STATE_SP_x_CH_MUNICIPAL",-0.061,-0.25
"45","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.0627,-0.26
"46","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.063,-0.26
"47","IN_CH_STATE_SC_x_CH_URBAN",-0.0675,-0.28
"48","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0886,-0.37
"49","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.0919,-0.38
"50","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.1135,-0.47
"51","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.1378,-0.57
"52","FC_TV_EQUIPMENT",-0.155,-0.64
"53","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",-0.1563,-0.65
"54","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.1611,-0.67
"55","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",-0.1932,-0.8
"56","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.2405,-1
"57","STR_TEACHERS_SECONDARY_FUNDEDU",-0.3805,-1.58
"58","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",-0.4876,-2.03
"59","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.8751,-3.64
