"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.188,-177.15
"2","STR_TEACHERS_SECONDARY_FUNDEDU",0.1151,-108.46
"3","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.1113,-104.88
"4","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",0.082,-77.27
"5","FC_TV_EQUIPMENT",0.0722,-68.03
"6","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",0.069,-65.02
"7","FC_ELECTR_PUBLIC",0.0608,-57.29
"8","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.0527,-49.66
"9","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.0452,-42.59
"10","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0434,-40.9
"11","IN_CH_MUNICIPAL_x_FC_INTERNET",0.0414,-39.01
"12","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0407,-38.35
"13","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.0373,-35.15
"14","FC_ANTENNA_EQUIPMENT",0.036,-33.92
"15","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.0303,-28.55
"16","IN_CH_STATE_SC_x_FC_ELECTR",0.0226,-21.3
"17","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.0118,-11.12
"18","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",0.0096,-9.05
"19","IN_CH_STATE_SC_x_FC_SEWAGE",0.009,-8.48
"20","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.0066,-6.22
"21","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.0044,-4.15
"22","IN_CH_STATE_SC_x_CH_URBAN",0.0041,-3.86
"23","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.0022,-2.07
"24","IN_CH_STATE_SC_x_FC_WATER",3e-04,-0.28
"25","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0,0
"26","ST_TOTAL_STAFF",-2e-04,0.19
"27","FC_ROOMS_USED",-9e-04,0.85
"28","IN_CH_STATE_RJ_x_CH_RURAL",-0.001,0.94
"29","ST_FUND_EDU_TEACHERS",-0.0016,1.51
"30","IN_CH_STATE_SP_x_CH_PRIVATE",-0.0036,3.39
"31","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.0057,5.37
"32","CLASS_STUDENT_TEACHER_RATIO",-0.0076,7.16
"33","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.0111,10.46
"34","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0137,12.91
"35","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.0139,13.1
"36","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.015,14.13
"37","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-0.0157,14.79
"38","CH_FUNDAMENTAL_EDU_T",-0.0168,15.83
"39","CH_STATE_TO",-0.0196,18.47
"40","IN_CH_STATE_MG_x_CH_STATE",-0.0251,23.65
"41","CH_STATE_RO",-0.028,26.38
"42","CH_PRIVATE",-0.0302,28.46
"43","IN_CH_STATE_TO_x_FC_COMPUTER",-0.0311,29.31
"44","IN_CH_PRIVATE_x_FC_WATER",-0.043,40.52
"45","IN_CH_STATE_RJ_x_CH_STATE",-0.0482,45.42
"46","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-0.0508,47.87
"47","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",-0.0572,53.9
"48","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",-0.0588,55.41
"49","IN_CH_STATE_CE_x_CH_RURAL",-0.079,74.44
"50","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",-0.0947,89.24
"51","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.097,91.4
"52","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.1008,94.98
"53","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.1108,104.41
"54","IN_CH_STATE_RN_x_CH_PRIVATE",-0.115,108.36
"55","IN_CH_STATE_RN_x_CH_FUNDAMENTAL_EDU_I",-0.1181,111.29
"56","IN_CH_STATE_TO_x_FC_LIBRARY",-0.1256,118.35
"57","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.1491,140.5
"58","IN_CH_STATE_RO_x_CH_MUNICIPAL",-0.1676,157.93
"59","IN_CH_STATE_RJ_x_CH_PRIVATE",-0.2826,266.29
"60","IN_CH_STATE_PI_x_CH_PRIVATE",-0.3388,319.25
"61","STR_TEACHERS_ONLY_FUNDEDU",-0.4718,444.58
"62","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-1.6393,1544.71
