"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ONLY_FUNDEDU",1.0653,4.52
"2","IN_CH_STATE_CE_x_CH_STATE",0.5233,2.22
"3","IN_CH_STATE_ES_x_CH_PRIVATE",0.3616,1.53
"4","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.1228,0.52
"5","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0457,0.19
"6","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.0423,0.18
"7","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.0407,0.17
"8","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",0.0388,0.16
"9","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.0316,0.13
"10","IN_CH_STATE_SP_x_CH_PRIVATE",0.0285,0.12
"11","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.0168,0.07
"12","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",0.0091,0.04
"13","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0064,0.03
"14","CLASS_SIZE",0.0052,0.02
"15","CLASS_STUDENT_TEACHER_RATIO",0.0041,0.02
"16","FC_TV_EQUIPMENT",-0.0129,-0.05
"17","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",-0.0321,-0.14
"18","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.0466,-0.2
"19","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0486,-0.21
"20","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.0509,-0.22
"21","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.0555,-0.24
"22","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",-0.0568,-0.24
"23","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.066,-0.28
"24","IN_CH_STATE_SC_x_FC_INTERNET",-0.0744,-0.32
"25","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.0984,-0.42
"26","STR_TEACHERS_SECONDARY_FUNDEDU",-0.1282,-0.54
"27","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.388,-1.65
