"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ADVANCED_FUNDEDU",5.6085,0.3
"2","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",4.8435,0.25
"3","IN_CH_URBAN_x_FC_COMPUTER_LAB",4.7121,0.25
"4","IN_CH_STATE_SC_x_CH_RURAL",3.7993,0.2
"5","IN_CH_URBAN_x_FC_WATER_PUBLIC",3.4588,0.18
"6","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",3.3671,0.18
"7","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",3.0932,0.16
"8","FC_COMPUTER_LAB",3.0798,0.16
"9","IN_CH_STATE_SP_x_CH_MUNICIPAL",2.8168,0.15
"10","IN_CH_STATE_SC_x_CH_MUNICIPAL",2.5353,0.13
"11","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",2.4981,0.13
"12","IN_CH_STATE_AC_x_CH_FEDERAL",2.3939,0.13
"13","IN_CH_STATE_MS_x_CH_MUNICIPAL",2.2314,0.12
"14","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",2.2234,0.12
"15","IN_CH_STATE_RS_x_CH_MUNICIPAL",2.1297,0.11
"16","IN_CH_STATE_PE_x_CH_RURAL",2.0554,0.11
"17","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",1.9975,0.11
"18","IN_CH_STATE_RS_x_CH_URBAN",1.8869,0.1
"19","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",1.8634,0.1
"20","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",1.8152,0.1
"21","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",1.8023,0.09
"22","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",1.77,0.09
"23","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.7498,0.09
"24","IN_CH_STATE_SP_x_FC_HAS_SPORTS_QUAD",1.6982,0.09
"25","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",1.6735,0.09
"26","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.6602,0.09
"27","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.5082,0.08
"28","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.4621,0.08
"29","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",1.4601,0.08
"30","IN_CH_URBAN_x_FC_LIBRARY",1.3973,0.07
"31","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",1.2853,0.07
"32","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",1.2363,0.07
"33","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",1.2358,0.07
"34","IN_CH_STATE_MA_x_CH_STATE",1.2146,0.06
"35","IN_CH_STATE_DF_x_CH_PRIVATE",1.1984,0.06
"36","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",1.1271,0.06
"37","IN_CH_STATE_MS_x_FC_WATER_PUBLIC",1.0906,0.06
"38","IN_CH_STATE_GO_x_CH_STATE",1.0891,0.06
"39","IN_CH_STATE_SC_x_FC_LIBRARY",1.0284,0.05
"40","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",1.0274,0.05
"41","IN_CH_STATE_MA_x_CH_RURAL",1.025,0.05
"42","IN_CH_STATE_RR_x_FC_SEWAGE_PUBLIC",1.021,0.05
"43","IN_CH_STATE_PR_x_CH_MUNICIPAL",1.0121,0.05
"44","FC_WATER_PUBLIC",1.012,0.05
"45","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.9719,0.05
"46","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.9178,0.05
"47","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",0.8958,0.05
"48","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",0.8718,0.05
"49","IN_CH_STATE_RN_x_CH_PRIVATE",0.8437,0.04
"50","IN_CH_STATE_SP_x_CH_RURAL",0.8102,0.04
"51","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.8061,0.04
"52","IN_CH_STATE_GO_x_FC_WATER_PUBLIC",0.7852,0.04
"53","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.7601,0.04
"54","IN_CH_STATE_AM_x_CH_STATE",0.7579,0.04
"55","FC_ANTENNA_EQUIPMENT",0.7355,0.04
"56","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.6945,0.04
"57","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.6878,0.04
"58","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",0.6876,0.04
"59","IN_CH_STATE_x_FC_HAS_SPORTS_QUAD",0.673,0.04
"60","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.6601,0.03
"61","FC_HAS_SPORTS_QUAD",0.6517,0.03
"62","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.6462,0.03
"63","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.641,0.03
"64","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.6188,0.03
"65","IN_CH_STATE_x_FC_LIBRARY",0.6047,0.03
"66","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.6018,0.03
"67","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",0.5925,0.03
"68","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.5824,0.03
"69","IN_CH_STATE_PE_x_FC_LIBRARY",0.5787,0.03
"70","FC_LIBRARY",0.5672,0.03
"71","IN_CH_STATE_SE_x_FC_LIBRARY",0.5655,0.03
"72","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.528,0.03
"73","IN_CH_STATE_RJ_x_CH_PRIVATE",0.5018,0.03
"74","IN_CH_STATE_CE_x_CH_STATE",0.4715,0.02
"75","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.4667,0.02
"76","IN_CH_STATE_TO_x_CH_STATE",0.4664,0.02
"77","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.4619,0.02
"78","IN_CH_STATE_RS_x_CH_PRIVATE",0.4542,0.02
"79","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.4452,0.02
"80","IN_CH_STATE_CE_x_CH_RURAL",0.4389,0.02
"81","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.4062,0.02
"82","IN_CH_STATE_GO_x_FC_COMPUTER_LAB",0.4003,0.02
"83","IN_CH_STATE_ES_x_CH_STATE",0.3917,0.02
"84","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.3917,0.02
"85","IN_CH_STATE_x_FC_COMPUTER_LAB",0.3151,0.02
"86","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER_PUBLIC",0.2825,0.01
"87","IN_CH_STATE_MT_x_CH_MUNICIPAL",0.2536,0.01
"88","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",0.2476,0.01
"89","IN_CH_STATE_SE_x_FC_ANTENNA_EQUIPMENT",0.2431,0.01
"90","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.198,0.01
"91","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.1849,0.01
"92","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.173,0.01
"93","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.1568,0.01
"94","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",0.1515,0.01
"95","IN_CH_STATE_MT_x_FC_LIBRARY",0.1451,0.01
"96","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.0907,0
"97","IN_CH_STATE_AM_x_CH_SCHOOL_LARGE_SIZE",0.09,0
"98","IN_CH_STATE_DF_x_FC_COMPUTER_LAB",0.0803,0
"99","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0782,0
"100","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.0656,0
"101","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0605,0
"102","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",0.0603,0
"103","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.0597,0
"104","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.0514,0
"105","CH_CLASSES_FUNDAMENTAL_EDU",0.0501,0
"106","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0474,0
"107","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.0239,0
"108","CLASS_SIZE",0.0238,0
"109","IN_CH_STATE_MT_x_FC_ANTENNA_EQUIPMENT",0.0164,0
"110","IN_CH_STATE_GO_x_FC_SEWAGE_PUBLIC",0.0151,0
"111","IN_CH_STATE_MT_x_CH_PRIVATE",0.0146,0
"112","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.0126,0
"113","CH_CLASSES_FUNDAMENTAL_EDU_I",0.0112,0
"114","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0.0095,0
"115","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",0.0091,0
"116","ST_FUND_EDU_TEACHERS",0.0072,0
"117","ST_TOTAL_STAFF",0.0017,0
"118","FC_NUMBER_COMPUTERS",0,0
"119","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_T",0,0
"120","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",0,0
"121","IN_CH_STATE_PB_x_FC_ELECTR_PUBLIC",0,0
"122","IN_CH_PRIVATE_x_FC_WATER",0,0
"123","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0,0
"124","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_I",-5e-04,0
"125","IN_CH_STATE_PB_x_FC_SEWAGE",-6e-04,0
"126","IN_CH_STATE_AC_x_CH_STATE",-0.0047,0
"127","FC_ROOMS_AVAILABLE",-0.0081,0
"128","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",-0.0108,0
"129","IN_CH_STATE_x_FC_SCIENCE_LAB",-0.0121,0
"130","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.0216,0
"131","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.0233,0
"132","IN_CH_STATE_PB_x_FC_WATER",-0.0287,0
"133","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",-0.0346,0
"134","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",-0.0382,0
"135","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",-0.042,0
"136","IN_CH_STATE_ES_x_CH_RURAL",-0.0431,0
"137","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.0484,0
"138","IN_CH_PRIVATE_x_FC_COMPUTER",-0.0505,0
"139","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.0589,0
"140","IN_CH_STATE_SE_x_FC_HAS_SPORTS_QUAD",-0.0646,0
"141","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",-0.0657,0
"142","IN_CH_STATE_MS_x_FC_SEWAGE_PUBLIC",-0.066,0
"143","IN_CH_STATE_RO_x_CH_RURAL",-0.0754,0
"144","IN_CH_STATE_PB_x_FC_TV_EQUIPMENT",-0.0861,0
"145","IN_CH_STATE_AP_x_CH_URBAN",-0.0868,0
"146","IN_CH_STATE_MG_x_CH_URBAN",-0.0943,0
