"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ADVANCED_FUNDEDU",4.3059,0.25
"2","IN_CH_URBAN_x_FC_COMPUTER_LAB",4.088,0.24
"3","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",3.6166,0.21
"4","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",2.7495,0.16
"5","IN_CH_URBAN_x_FC_WATER_PUBLIC",2.6738,0.16
"6","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",2.5307,0.15
"7","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",2.3896,0.14
"8","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",2.3277,0.14
"9","IN_CH_STATE_SP_x_CH_MUNICIPAL",2.1103,0.12
"10","IN_CH_STATE_SC_x_CH_RURAL",1.9868,0.12
"11","IN_CH_STATE_MA_x_CH_RURAL",1.9823,0.12
"12","IN_CH_STATE_SC_x_CH_MUNICIPAL",1.8742,0.11
"13","IN_CH_STATE_AC_x_CH_FEDERAL",1.8355,0.11
"14","FC_COMPUTER_LAB",1.8139,0.11
"15","IN_CH_STATE_MS_x_CH_MUNICIPAL",1.661,0.1
"16","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",1.6128,0.09
"17","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",1.5596,0.09
"18","IN_CH_STATE_RS_x_CH_MUNICIPAL",1.5458,0.09
"19","IN_CH_STATE_PE_x_CH_RURAL",1.5176,0.09
"20","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.4681,0.09
"21","IN_CH_URBAN_x_FC_LIBRARY",1.4189,0.08
"22","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",1.4131,0.08
"23","IN_CH_STATE_RN_x_CH_PRIVATE",1.3747,0.08
"24","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.3573,0.08
"25","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.3197,0.08
"26","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",1.3154,0.08
"27","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",1.2505,0.07
"28","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",1.2305,0.07
"29","IN_CH_STATE_MS_x_FC_WATER_PUBLIC",1.2052,0.07
"30","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.2016,0.07
"31","IN_CH_STATE_MA_x_CH_STATE",1.1368,0.07
"32","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",1.1194,0.07
"33","IN_CH_STATE_GO_x_CH_STATE",1.079,0.06
"34","IN_CH_STATE_RS_x_CH_URBAN",1.0775,0.06
"35","IN_CH_STATE_DF_x_CH_PRIVATE",1.0388,0.06
"36","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",1.0109,0.06
"37","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.9941,0.06
"38","IN_CH_STATE_RR_x_FC_SEWAGE_PUBLIC",0.9359,0.05
"39","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.9108,0.05
"40","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.8865,0.05
"41","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.8649,0.05
"42","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",0.8202,0.05
"43","IN_CH_STATE_SC_x_FC_LIBRARY",0.7942,0.05
"44","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.794,0.05
