"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ADVANCED_FUNDEDU",4.7299,0.27
"2","IN_CH_URBAN_x_FC_COMPUTER_LAB",4.4041,0.25
"3","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",4.2257,0.24
"4","IN_CH_URBAN_x_FC_WATER_PUBLIC",3.0066,0.17
"5","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",2.9714,0.17
"6","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",2.4745,0.14
"7","IN_CH_STATE_SC_x_CH_RURAL",2.4263,0.14
"8","IN_CH_STATE_SP_x_CH_MUNICIPAL",2.3884,0.14
"9","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",2.3267,0.13
"10","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",2.2378,0.13
"11","IN_CH_STATE_SC_x_CH_MUNICIPAL",2.1284,0.12
"12","IN_CH_STATE_AC_x_CH_FEDERAL",2.0135,0.12
"13","FC_COMPUTER_LAB",1.9945,0.11
"14","IN_CH_STATE_MS_x_CH_MUNICIPAL",1.8959,0.11
"15","IN_CH_STATE_RS_x_CH_MUNICIPAL",1.7626,0.1
"16","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",1.6568,0.09
"17","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",1.6371,0.09
"18","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",1.6239,0.09
"19","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",1.5631,0.09
"20","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",1.5612,0.09
"21","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.5432,0.09
"22","IN_CH_STATE_PE_x_CH_RURAL",1.5291,0.09
"23","IN_CH_URBAN_x_FC_LIBRARY",1.5199,0.09
"24","IN_CH_STATE_MA_x_CH_RURAL",1.5048,0.09
"25","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",1.4773,0.08
"26","IN_CH_STATE_RS_x_CH_URBAN",1.397,0.08
"27","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.3838,0.08
"28","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.3824,0.08
"29","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.3711,0.08
"30","IN_CH_STATE_MA_x_CH_STATE",1.2504,0.07
"31","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",1.1944,0.07
"32","IN_CH_STATE_MS_x_FC_WATER_PUBLIC",1.1786,0.07
"33","IN_CH_STATE_DF_x_CH_PRIVATE",1.1389,0.07
"34","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",1.0824,0.06
"35","IN_CH_STATE_GO_x_CH_STATE",1.0399,0.06
"36","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.9997,0.06
"37","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.9951,0.06
"38","IN_CH_STATE_RR_x_FC_SEWAGE_PUBLIC",0.9928,0.06
"39","IN_CH_STATE_RN_x_CH_PRIVATE",0.9758,0.06
"40","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.9274,0.05
"41","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.9173,0.05
"42","IN_CH_STATE_SP_x_FC_HAS_SPORTS_QUAD",0.8821,0.05
"43","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.8457,0.05
"44","IN_CH_STATE_SC_x_FC_LIBRARY",0.8254,0.05
"45","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.8106,0.05
"46","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",0.7957,0.05
"47","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.7643,0.04
"48","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.7282,0.04
"49","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.7055,0.04
"50","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.7028,0.04
"51","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",0.6684,0.04
"52","IN_CH_STATE_RJ_x_CH_PRIVATE",0.6533,0.04
"53","IN_CH_STATE_GO_x_FC_COMPUTER_LAB",0.6389,0.04
"54","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.6353,0.04
"55","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",0.6233,0.04
"56","IN_CH_STATE_x_FC_LIBRARY",0.6227,0.04
"57","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.6153,0.04
"58","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.6102,0.03
"59","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.5594,0.03
"60","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",0.5582,0.03
"61","IN_CH_STATE_SE_x_FC_LIBRARY",0.5453,0.03
"62","IN_CH_STATE_GO_x_FC_WATER_PUBLIC",0.5406,0.03
"63","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.5277,0.03
"64","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",0.5107,0.03
"65","IN_CH_STATE_RS_x_CH_PRIVATE",0.5097,0.03
"66","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.5066,0.03
"67","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.4972,0.03
"68","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.4715,0.03
"69","FC_ANTENNA_EQUIPMENT",0.4714,0.03
"70","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER_PUBLIC",0.4555,0.03
"71","FC_WATER_PUBLIC",0.4354,0.02
"72","IN_CH_STATE_ES_x_CH_STATE",0.4279,0.02
"73","IN_CH_STATE_TO_x_CH_STATE",0.4107,0.02
"74","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.4106,0.02
"75","IN_CH_STATE_PE_x_FC_LIBRARY",0.375,0.02
"76","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.3259,0.02
"77","IN_CH_STATE_MT_x_FC_LIBRARY",0.3184,0.02
