"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_URBAN_x_FC_COMPUTER_LAB",3.8201,0.25
"2","STR_TEACHERS_ADVANCED_FUNDEDU",3.8031,0.25
"3","IN_CH_STATE_MA_x_CH_RURAL",2.9834,0.2
"4","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",2.9814,0.2
"5","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",2.5787,0.17
"6","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",2.476,0.16
"7","IN_CH_URBAN_x_FC_WATER_PUBLIC",2.3346,0.16
"8","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",2.3272,0.15
"9","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",2.1968,0.15
"10","IN_CH_STATE_RN_x_CH_PRIVATE",2.1283,0.14
"11","IN_CH_STATE_PA_x_CH_RURAL",2.0813,0.14
"12","IN_CH_STATE_SC_x_CH_RURAL",1.8194,0.12
"13","IN_CH_STATE_PE_x_CH_RURAL",1.8016,0.12
"14","IN_CH_STATE_SP_x_CH_MUNICIPAL",1.6748,0.11
"15","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",1.6142,0.11
"16","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.4809,0.1
"17","IN_CH_STATE_AC_x_CH_FEDERAL",1.4746,0.1
"18","IN_CH_STATE_SC_x_CH_MUNICIPAL",1.4746,0.1
"19","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",1.4593,0.1
"20","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.3192,0.09
"21","IN_CH_URBAN_x_FC_LIBRARY",1.3156,0.09
"22","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.3125,0.09
"23","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",1.3085,0.09
"24","IN_CH_STATE_MS_x_CH_MUNICIPAL",1.2848,0.09
"25","IN_CH_STATE_GO_x_CH_STATE",1.2542,0.08
"26","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",1.2406,0.08
"27","IN_CH_STATE_MS_x_FC_WATER_PUBLIC",1.1932,0.08
"28","IN_CH_STATE_RS_x_CH_MUNICIPAL",1.1593,0.08
"29","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",1.1536,0.08
