"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.6753,-0.85
"2","STR_TEACHERS_ONLY_FUNDEDU",1.3618,-0.69
"3","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",1.2908,-0.65
"4","IN_CH_STATE_AL_x_CH_STATE",0.8587,-0.43
"5","IN_CH_STATE_MS_x_FC_NO_SPORTS_QUAD",0.7281,-0.37
"6","IN_CH_STATE_RR_x_CH_FEDERAL",0.6927,-0.35
"7","IN_CH_STATE_PE_x_CH_PRIVATE",0.6562,-0.33
"8","IN_CH_STATE_PE_x_CH_MUNICIPAL",0.624,-0.32
"9","IN_CH_STATE_AP_x_CH_PRIVATE",0.615,-0.31
"10","CH_STATE_AP",0.5858,-0.3
"11","IN_CH_STATE_AL_x_CH_URBAN",0.5722,-0.29
"12","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",0.5312,-0.27
"13","IN_CH_STATE_PA_x_CH_PRIVATE",0.5302,-0.27
"14","IN_CH_STATE_AC_x_CH_RURAL",0.5151,-0.26
"15","IN_CH_STATE_SE_x_CH_PRIVATE",0.5151,-0.26
"16","IN_CH_STATE_CE_x_CH_URBAN",0.4868,-0.25
"17","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.4785,-0.24
"18","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.4425,-0.22
"19","IN_CH_STATE_GO_x_CH_RURAL",0.4293,-0.22
"20","IN_CH_STATE_MS_x_CH_RURAL",0.4272,-0.22
"21","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.4094,-0.21
"22","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.399,-0.2
"23","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.392,-0.2
"24","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.3777,-0.19
"25","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",0.3732,-0.19
"26","IN_CH_STATE_PI_x_CH_STATE",0.3717,-0.19
"27","CH_MUNICIPAL",0.3694,-0.19
"28","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.3617,-0.18
"29","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.3576,-0.18
"30","IN_CH_STATE_AM_x_FC_NO_SPORTS_QUAD",0.3431,-0.17
"31","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.3412,-0.17
