"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_URBAN_x_FC_COMPUTER",1.4269,-6.69
"2","IN_CH_STATE_DF_x_CH_RURAL",0.8341,-3.91
"3","IN_CH_STATE_SC_x_CH_RURAL",0.7423,-3.48
"4","IN_CH_STATE_SP_x_CH_RURAL",0.7175,-3.36
"5","FC_COMPUTER",0.6527,-3.06
"6","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.5832,-2.73
"7","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.5384,-2.52
"8","CH_URBAN",0.4085,-1.91
"9","FC_COMPUTER_LAB",0.399,-1.87
"10","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.3987,-1.87
"11","IN_CH_STATE_PR_x_CH_RURAL",0.3669,-1.72
"12","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.3646,-1.71
"13","IN_CH_STATE_AL_x_FC_LIBRARY",0.3396,-1.59
"14","IN_CH_STATE_RR_x_CH_RURAL",0.3303,-1.55
"15","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",0.3086,-1.45
"16","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.3046,-1.43
"17","IN_CH_RURAL_x_FC_LIBRARY",0.2998,-1.4
"18","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.288,-1.35
"19","IN_CH_STATE_RS_x_CH_RURAL",0.2704,-1.27
"20","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.2193,-1.03
"21","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.2186,-1.02
"22","STR_TEACHERS_ADVANCED_FUNDEDU",0.2156,-1.01
"23","IN_CH_STATE_PE_x_FC_LIBRARY",0.1946,-0.91
"24","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1903,-0.89
"25","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.1818,-0.85
"26","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.1672,-0.78
"27","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.1616,-0.76
"28","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.1482,-0.69
"29","IN_CH_STATE_ES_x_CH_RURAL",0.144,-0.67
"30","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",0.1417,-0.66
"31","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",0.1393,-0.65
"32","IN_CH_STATE_BA_x_FC_LIBRARY",0.1313,-0.62
"33","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.1266,-0.59
"34","FC_ELECTR_PUBLIC",0.1219,-0.57
"35","IN_CH_STATE_CE_x_CH_RURAL",0.1092,-0.51
"36","IN_CH_STATE_CE_x_CH_PRIVATE",0.1081,-0.51
"37","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",0.1076,-0.5
"38","IN_CH_STATE_PB_x_FC_COMPUTER_LAB",0.1009,-0.47
"39","FC_WATER_PUBLIC",0.0966,-0.45
"40","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.0957,-0.45
"41","IN_CH_MUNICIPAL_x_FC_COMPUTER_LAB",0.0944,-0.44
"42","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",0.09,-0.42
"43","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",0.0878,-0.41
"44","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.0866,-0.41
"45","IN_CH_STATE_PA_x_CH_STATE",0.0807,-0.38
"46","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",0.0728,-0.34
"47","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.0704,-0.33
"48","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.0617,-0.29
"49","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",0.0614,-0.29
"50","IN_CH_STATE_RN_x_FC_LIBRARY",0.0603,-0.28
