"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.895,0.44
"2","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.6548,0.32
"3","IN_CH_STATE_SC_x_CH_RURAL",0.6454,0.32
"4","STR_TEACHERS_ADVANCED_FUNDEDU",0.562,0.28
"5","IN_CH_STATE_AL_x_CH_RURAL",0.3887,0.19
"6","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",0.3772,0.19
"7","IN_CH_STATE_PA_x_CH_RURAL",0.3741,0.18
"8","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.3645,0.18
"9","IN_CH_STATE_MA_x_FC_NO_SPORTS_QUAD",0.3221,0.16
"10","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.3182,0.16
"11","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",0.3073,0.15
"12","IN_CH_STATE_SP_x_CH_RURAL",0.2935,0.14
"13","IN_CH_STATE_AC_x_CH_FEDERAL",0.2861,0.14
"14","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.277,0.14
"15","IN_CH_STATE_SC_x_CH_MUNICIPAL",0.2602,0.13
"16","IN_CH_STATE_MA_x_CH_RURAL",0.2513,0.12
"17","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.2484,0.12
"18","IN_CH_STATE_MS_x_CH_MUNICIPAL",0.2328,0.11
"19","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.2239,0.11
"20","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.2219,0.11
"21","IN_CH_STATE_SP_x_FC_HAS_SPORTS_QUAD",0.2217,0.11
"22","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.2209,0.11
"23","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.2192,0.11
"24","IN_CH_STATE_PA_x_FC_NO_SPORTS_QUAD",0.2155,0.11
"25","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.2149,0.11
"26","IN_CH_URBAN_x_FC_LIBRARY",0.2026,0.1
"27","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",0.1963,0.1
"28","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.1879,0.09
"29","IN_CH_STATE_MA_x_CH_STATE",0.1849,0.09
"30","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",0.1841,0.09
"31","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.1695,0.08
"32","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.1682,0.08
"33","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.1677,0.08
"34","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.1649,0.08
"35","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",0.1547,0.08
"36","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.1518,0.07
"37","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",0.1491,0.07
"38","IN_CH_STATE_PE_x_FC_LIBRARY",0.149,0.07
"39","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.1486,0.07
"40","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.1476,0.07
"41","IN_CH_STATE_RS_x_CH_URBAN",0.1473,0.07
"42","IN_CH_STATE_MS_x_FC_WATER_PUBLIC",0.1398,0.07
"43","IN_CH_STATE_PE_x_CH_RURAL",0.1342,0.07
"44","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.1319,0.07
"45","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",0.1304,0.06
"46","IN_CH_STATE_DF_x_CH_PRIVATE",0.13,0.06
"47","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",0.1263,0.06
"48","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.126,0.06
"49","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.1241,0.06
"50","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.1196,0.06
"51","IN_CH_STATE_GO_x_CH_STATE",0.1137,0.06
"52","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.1108,0.05
"53","IN_CH_STATE_SC_x_FC_LIBRARY",0.1081,0.05
"54","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.1051,0.05
"55","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.1046,0.05
"56","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",0.1009,0.05
"57","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.099,0.05
"58","IN_CH_STATE_GO_x_FC_WATER_PUBLIC",0.0983,0.05
"59","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0982,0.05
"60","IN_CH_STATE_BA_x_CH_STATE",0.0959,0.05
"61","IN_CH_STATE_RR_x_FC_SEWAGE_PUBLIC",0.0926,0.05
"62","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0924,0.05
"63","FC_WATER_PUBLIC",0.087,0.04
"64","IN_CH_STATE_x_FC_LIBRARY",0.0865,0.04
"65","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.0862,0.04
"66","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.086,0.04
"67","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.0808,0.04
"68","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.079,0.04
"69","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",0.078,0.04
"70","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0763,0.04
"71","IN_CH_STATE_x_FC_COMPUTER_LAB",0.0752,0.04
"72","IN_CH_STATE_ES_x_CH_STATE",0.068,0.03
"73","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.0655,0.03
"74","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.0636,0.03
"75","IN_CH_STATE_AM_x_CH_STATE",0.0635,0.03
"76","IN_CH_STATE_SE_x_FC_ANTENNA_EQUIPMENT",0.0631,0.03
"77","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",0.0622,0.03
"78","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.0609,0.03
"79","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.0599,0.03
"80","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.0597,0.03
"81","IN_CH_STATE_SE_x_FC_LIBRARY",0.0569,0.03
"82","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.0547,0.03
"83","IN_CH_STATE_RS_x_CH_PRIVATE",0.0502,0.02
"84","FC_ANTENNA_EQUIPMENT",0.0492,0.02
"85","IN_CH_STATE_MT_x_CH_PRIVATE",0.0479,0.02
"86","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.0404,0.02
"87","IN_CH_STATE_CE_x_CH_STATE",0.036,0.02
"88","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.0357,0.02
"89","IN_CH_STATE_TO_x_CH_STATE",0.0353,0.02
"90","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER_PUBLIC",0.0342,0.02
"91","IN_CH_STATE_RN_x_CH_PRIVATE",0.0312,0.02
"92","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.03,0.01
"93","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",0.0297,0.01
"94","IN_CH_STATE_DF_x_FC_COMPUTER_LAB",0.0278,0.01
"95","IN_CH_STATE_GO_x_FC_SEWAGE_PUBLIC",0.0211,0.01
"96","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0207,0.01
"97","IN_CH_STATE_AM_x_CH_RURAL",0.0168,0.01
"98","IN_CH_STATE_RJ_x_CH_PRIVATE",0.0164,0.01
"99","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.0151,0.01
"100","IN_CH_STATE_DF_x_FC_SCIENCE_LAB",0.0151,0.01
"101","IN_CH_STATE_MT_x_CH_MUNICIPAL",0.0138,0.01
"102","IN_CH_STATE_GO_x_FC_COMPUTER_LAB",0.0119,0.01
"103","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.0116,0.01
"104","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0107,0.01
"105","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.0103,0.01
"106","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",0.0098,0
"107","IN_CH_STATE_MT_x_FC_LIBRARY",0.0057,0
"108","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.0056,0
"109","CH_CLASSES_FUNDAMENTAL_EDU",0.0055,0
"110","CLASS_SIZE",0.0024,0
"111","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",0.0018,0
"112","CH_CLASSES_FUNDAMENTAL_EDU_I",4e-04,0
"113","ST_FUND_EDU_TEACHERS",4e-04,0
"114","IN_CH_STATE_PR_x_CH_PRIVATE",4e-04,0
"115","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",4e-04,0
"116","ST_TOTAL_STAFF",2e-04,0
"117","IN_CH_STATE_TO_x_FC_LIBRARY",2e-04,0
"118","CH_STATE_PI",0,0
"119","FC_NUMBER_COMPUTERS",0,0
"120","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_T",0,0
"121","IN_CH_STATE_PB_x_FC_SEWAGE",0,0
"122","IN_CH_STATE_PI_x_CH_FUNDAMENTAL_EDU_T",0,0
"123","IN_CH_STATE_PI_x_FC_WATER",0,0
"124","IN_CH_PRIVATE_x_FC_SEWAGE",0,0
"125","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",0,0
"126","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0,0
"127","IN_CH_STATE_AP_x_CH_FUNDAMENTAL_EDU_I",-1e-04,0
"128","IN_CH_STATE_PI_x_CH_FUNDAMENTAL_EDU_I",-1e-04,0
"129","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",-1e-04,0
"130","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-1e-04,0
"131","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-2e-04,0
"132","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR_PUBLIC",-5e-04,0
"133","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER",-7e-04,0
"134","FC_ROOMS_AVAILABLE",-0.001,0
"135","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.0013,0
"136","IN_CH_STATE_PB_x_FC_TV_EQUIPMENT",-0.0014,0
