"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",7.7651,2.05
"2","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",6.0325,1.59
"3","IN_CH_STATE_PE_x_CH_RURAL",5.1252,1.35
"4","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",2.4518,0.65
"5","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",2.2969,0.61
"6","IN_CH_STATE_RN_x_CH_RURAL",1.7795,0.47
"7","IN_CH_STATE_PI_x_CH_URBAN",1.6747,0.44
"8","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",1.4434,0.38
"9","IN_CH_STATE_MA_x_CH_MUNICIPAL",1.145,0.3
"10","IN_CH_STATE_BA_x_CH_RURAL",1.0358,0.27
"11","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.6815,0.18
"12","IN_CH_STATE_TO_x_CH_RURAL",0.5937,0.16
"13","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.5176,0.14
"14","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.487,0.13
"15","STR_TEACHERS_SECONDARY_FUNDEDU",0.3677,0.1
"16","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_I",0.1184,0.03
"17","CH_STATE_MA",0.0733,0.02
"18","IN_CH_STATE_MA_x_FC_WATER_PUBLIC",0.0568,0.01
"19","IN_CH_STATE_RS_x_FC_LIBRARY",-0.0258,-0.01
"20","IN_CH_STATE_MG_x_FC_LIBRARY",-0.0279,-0.01
"21","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-0.1108,-0.03
"22","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.2865,-0.08
"23","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.5184,-0.14
"24","IN_CH_STATE_SC_x_CH_RURAL",-0.5722,-0.15
"25","FC_WATER_PUBLIC",-0.5894,-0.16
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.6591,-0.17
"27","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.7531,-0.2
"28","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.771,-0.2
"29","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.8148,-0.21
"30","IN_CH_RURAL_x_FC_SCIENCE_LAB",-1.3379,-0.35
"31","IN_CH_STATE_SP_x_CH_RURAL",-1.542,-0.41
"32","FC_TV_EQUIPMENT",-2.7792,-0.73
"33","FC_COMPUTER",-8.4446,-2.23
