"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",4.7786,1.47
"2","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",3.8274,1.18
"3","IN_CH_STATE_PE_x_CH_RURAL",1.5626,0.48
"4","IN_CH_STATE_BA_x_CH_RURAL",1.1596,0.36
"5","IN_CH_STATE_RN_x_CH_RURAL",0.9464,0.29
"6","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",0.8711,0.27
"7","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.8533,0.26
"8","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.6696,0.21
"9","STR_TEACHERS_SECONDARY_FUNDEDU",0.4096,0.13
"10","IN_CH_STATE_TO_x_CH_RURAL",0.1725,0.05
"11","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.0652,0.02
"12","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.0341,0.01
"13","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.0234,0.01
"14","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.0106,0
"15","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.0077,0
"16","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0144,0
"17","IN_CH_STATE_SC_x_CH_RURAL",-0.0797,-0.02
"18","IN_CH_STATE_SP_x_CH_RURAL",-0.1274,-0.04
"19","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.201,-0.06
"20","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.2577,-0.08
"21","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.294,-0.09
"22","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.6873,-0.21
"23","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.815,-0.25
"24","FC_TV_EQUIPMENT",-2.8093,-0.86
"25","FC_COMPUTER",-4.6842,-1.44
