"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",6.4585,1.87
"2","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",5.4853,1.59
"3","IN_CH_STATE_PE_x_CH_RURAL",4.5351,1.32
"4","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",2.0846,0.6
"5","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",2.0581,0.6
"6","IN_CH_STATE_PI_x_CH_URBAN",1.6233,0.47
"7","IN_CH_STATE_RN_x_CH_RURAL",1.5429,0.45
"8","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",1.4993,0.43
"9","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",1.035,0.3
"10","IN_CH_STATE_BA_x_CH_RURAL",0.7618,0.22
"11","IN_CH_STATE_TO_x_CH_RURAL",0.5886,0.17
"12","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.5698,0.17
"13","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.5666,0.16
"14","STR_TEACHERS_SECONDARY_FUNDEDU",0.4967,0.14
"15","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.3521,0.1
"16","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_I",0.2924,0.08
"17","CH_STATE_MA",0.2598,0.08
"18","IN_CH_STATE_MA_x_FC_WATER_PUBLIC",0.014,0
"19","FC_LIBRARY",-0.0071,0
"20","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-0.0102,0
"21","IN_CH_STATE_RS_x_FC_LIBRARY",-0.0841,-0.02
"22","FC_ANTENNA_EQUIPMENT",-0.1138,-0.03
"23","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.2762,-0.08
"24","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.2885,-0.08
"25","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.2993,-0.09
"26","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.3638,-0.11
"27","FC_WATER_PUBLIC",-0.6508,-0.19
"28","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.6761,-0.2
"29","IN_CH_STATE_SC_x_CH_RURAL",-0.68,-0.2
"30","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.7071,-0.21
"31","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.7192,-0.21
"32","IN_CH_STATE_SP_x_CH_RURAL",-0.7675,-0.22
"33","FC_TV_EQUIPMENT",-2.229,-0.65
"34","FC_COMPUTER",-7.4483,-2.16
