"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",4.637,1.5
"2","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",2.9786,0.97
"3","IN_CH_STATE_PE_x_CH_RURAL",0.9333,0.3
"4","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.8601,0.28
"5","STR_TEACHERS_SECONDARY_FUNDEDU",0.6498,0.21
"6","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.4043,0.13
"7","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.3178,0.1
"8","IN_CH_STATE_BA_x_CH_RURAL",0.3075,0.1
"9","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.2852,0.09
"10","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.2595,0.08
"11","IN_CH_STATE_RN_x_CH_RURAL",0.2396,0.08
"12","IN_CH_STATE_PI_x_CH_URBAN",0.163,0.05
"13","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.144,0.05
"14","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",0.1088,0.04
"15","FC_WATER_PUBLIC",-0.0241,-0.01
"16","IN_CH_STATE_x_FC_SEWAGE",-0.0335,-0.01
"17","FC_LIBRARY",-0.0361,-0.01
"18","FC_ANTENNA_EQUIPMENT",-0.2318,-0.08
"19","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.2979,-0.1
"20","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.6104,-0.2
"21","FC_TV_EQUIPMENT",-1.9513,-0.63
"22","FC_COMPUTER",-4.9093,-1.59
