"","Variable","Coefficient","Coefficient/ATE"
"1","FC_COMPUTER",0.5289,-2.61
"2","IN_CH_URBAN_x_FC_COMPUTER",0.2162,-1.07
"3","FC_TV_EQUIPMENT",0.1489,-0.73
"4","IN_CH_STATE_SC_x_CH_RURAL",0.1275,-0.63
"5","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.1142,-0.56
"6","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.1132,-0.56
"7","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.089,-0.44
"8","FC_LIBRARY",0.0859,-0.42
"9","FC_WATER_PUBLIC",0.0765,-0.38
"10","FC_ANTENNA_EQUIPMENT",0.0728,-0.36
"11","IN_CH_STATE_x_FC_COMPUTER_LAB",0.0512,-0.25
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",0.0461,-0.23
"13","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0419,-0.21
"14","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0351,-0.17
"15","FC_COMPUTER_LAB",0.0314,-0.15
"16","IN_CH_STATE_PA_x_CH_RURAL",0.0219,-0.11
"17","IN_CH_STATE_PR_x_CH_RURAL",0.0218,-0.11
"18","IN_CH_STATE_SP_x_CH_RURAL",0.0209,-0.1
"19","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.0158,-0.08
"20","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",0.0115,-0.06
"21","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",0.0099,-0.05
"22","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.0061,-0.03
"23","IN_CH_STATE_AL_x_CH_RURAL",0.0058,-0.03
"24","IN_CH_STATE_x_FC_COMPUTER",0.0058,-0.03
"25","FC_NUMBER_COMPUTERS",1e-04,0
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0,0
"27","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",-0.0029,0.01
"28","IN_CH_STATE_ES_x_FC_NO_SPORTS_QUAD",-0.0159,0.08
"29","IN_CH_STATE_SE_x_FC_LIBRARY",-0.0215,0.11
"30","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_I",-0.0318,0.16
"31","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.0334,0.16
"32","IN_CH_STATE_MG_x_CH_RURAL",-0.0396,0.2
"33","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",-0.0425,0.21
"34","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",-0.0501,0.25
"35","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",-0.0533,0.26
"36","IN_CH_STATE_RJ_x_CH_RURAL",-0.0629,0.31
"37","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-0.0727,0.36
"38","IN_CH_STATE_ES_x_CH_RURAL",-0.0737,0.36
"39","IN_CH_STATE_RN_x_CH_RURAL",-0.08,0.39
"40","IN_CH_STATE_BA_x_CH_RURAL",-0.0927,0.46
"41","IN_CH_STATE_MA_x_CH_URBAN",-0.0935,0.46
"42","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0938,0.46
"43","IN_CH_STATE_RN_x_CH_PRIVATE",-0.0974,0.48
"44","STR_TEACHERS_SECONDARY_FUNDEDU",-0.1047,0.52
"45","FC_ELECTR",-0.1175,0.58
"46","IN_CH_STATE_PI_x_CH_URBAN",-0.1241,0.61
"47","IN_CH_STATE_TO_x_CH_RURAL",-0.1471,0.72
"48","IN_CH_STATE_PB_x_CH_PRIVATE",-0.1751,0.86
"49","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.1902,0.94
"50","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.2046,1.01
"51","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.2279,1.12
"52","IN_CH_STATE_PE_x_CH_RURAL",-0.3784,1.86
"53","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-0.4787,2.36
"54","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.5172,2.55
"55","IN_CH_STATE_AP_x_CH_FEDERAL",-5.0275,24.77
