"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",3.3571,-18.04
"2","IN_CH_STATE_ES_x_CH_FEDERAL",1.0289,-5.53
"3","IN_CH_STATE_TO_x_CH_FEDERAL",0.7488,-4.02
"4","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.5699,-3.06
"5","IN_CH_STATE_SP_x_CH_RURAL",0.5248,-2.82
"6","IN_CH_STATE_RR_x_CH_PRIVATE",0.4665,-2.51
"7","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.4128,-2.22
"8","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.3799,-2.04
"9","IN_CH_STATE_TO_x_CH_PRIVATE",0.3295,-1.77
"10","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.3051,-1.64
"11","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.2848,-1.53
"12","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.2316,-1.24
"13","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.2308,-1.24
"14","IN_CH_URBAN_x_FC_SEWAGE",0.1909,-1.03
"15","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.1686,-0.91
"16","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.156,-0.84
"17","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.1533,-0.82
"18","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.151,-0.81
"19","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.1492,-0.8
"20","IN_CH_STATE_PA_x_CH_STATE",0.144,-0.77
"21","IN_CH_RURAL_x_FC_LIBRARY",0.1404,-0.75
"22","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.1403,-0.75
"23","IN_CH_RURAL_x_FC_COMPUTER",0.1368,-0.74
"24","IN_CH_STATE_PE_x_CH_STATE",0.1271,-0.68
"25","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.1249,-0.67
"26","IN_CH_URBAN_x_FC_ELECTR_PUBLIC",0.1086,-0.58
"27","IN_CH_STATE_ES_x_FC_ANTENNA_EQUIPMENT",0.1083,-0.58
"28","IN_CH_STATE_MG_x_CH_PRIVATE",0.105,-0.56
"29","IN_CH_STATE_AM_x_CH_PRIVATE",0.1047,-0.56
"30","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.0801,-0.43
"31","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.0799,-0.43
"32","IN_CH_STATE_RS_x_CH_URBAN",0.0719,-0.39
"33","IN_CH_STATE_RS_x_CH_STATE",0.0684,-0.37
"34","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.0643,-0.35
"35","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.0622,-0.33
"36","FC_TV_EQUIPMENT",0.0588,-0.32
"37","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.0539,-0.29
"38","IN_CH_STATE_SE_x_CH_STATE",0.0475,-0.26
"39","IN_CH_STATE_CE_x_CH_URBAN",0.0435,-0.23
"40","IN_CH_STATE_RJ_x_CH_URBAN",0.043,-0.23
"41","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.0426,-0.23
"42","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.0388,-0.21
"43","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.0362,-0.19
"44","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.0355,-0.19
"45","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0352,-0.19
"46","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.0326,-0.18
"47","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.025,-0.13
"48","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.0236,-0.13
"49","FC_WATER",0.023,-0.12
"50","IN_CH_STATE_CE_x_CH_PRIVATE",0.0203,-0.11
"51","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0.0099,-0.05
"52","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",0.0086,-0.05
"53","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.0067,-0.04
"54","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",0.0042,-0.02
"55","FC_ROOMS_USED",-6e-04,0
"56","FC_NUMBER_COMPUTERS",-0.0012,0.01
"57","ST_FUND_EDU_TEACHERS",-0.0017,0.01
"58","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",-0.0017,0.01
"59","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0023,0.01
"60","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",-0.0026,0.01
"61","IN_CH_STATE_SP_x_FC_LIBRARY",-0.0032,0.02
"62","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.0035,0.02
"63","IN_CH_STATE_MA_x_FC_NO_SPORTS_QUAD",-0.0049,0.03
"64","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",-0.0123,0.07
"65","IN_CH_RURAL_x_FC_ELECTR_PUBLIC",-0.0131,0.07
"66","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.0158,0.08
"67","IN_CH_RURAL_x_FC_ELECTR",-0.0174,0.09
"68","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",-0.0179,0.1
"69","IN_CH_STATE_PR_x_FC_ANTENNA_EQUIPMENT",-0.0196,0.11
"70","IN_CH_STATE_SC_x_CH_RURAL",-0.0199,0.11
"71","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-0.0259,0.14
"72","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.0328,0.18
