"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.8427,-1.81
"2","FC_COMPUTER",0.5871,-1.26
"3","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.48,-1.03
"4","IN_CH_STATE_SP_x_CH_RURAL",0.4422,-0.95
"5","FC_TV_EQUIPMENT",0.3005,-0.64
"6","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.2782,-0.6
"7","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.2235,-0.48
"8","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.2081,-0.45
"9","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.1981,-0.42
"10","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",0.1555,-0.33
"11","IN_CH_STATE_RJ_x_CH_URBAN",0.1444,-0.31
"12","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.1416,-0.3
"13","IN_CH_PRIVATE_x_FC_LIBRARY",0.1289,-0.28
"14","IN_CH_RURAL_x_FC_LIBRARY",0.0992,-0.21
"15","IN_CH_STATE_PR_x_CH_RURAL",0.0905,-0.19
"16","IN_CH_STATE_MG_x_CH_PRIVATE",0.0832,-0.18
"17","IN_CH_STATE_MG_x_CH_URBAN",0.0807,-0.17
"18","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0677,-0.15
"19","IN_CH_STATE_RS_x_CH_URBAN",0.0539,-0.12
"20","FC_WATER_PUBLIC",0.048,-0.1
"21","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",0,0
"22","CLASS_SIZE",-0.0015,0
"23","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-0.0103,0.02
"24","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",-0.0104,0.02
"25","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",-0.0109,0.02
"26","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",-0.0112,0.02
"27","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.0129,0.03
"28","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-0.0236,0.05
"29","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR",-0.0242,0.05
"30","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",-0.0308,0.07
"31","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.033,0.07
"32","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",-0.039,0.08
"33","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",-0.0654,0.14
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0688,0.15
"35","IN_CH_URBAN_x_FC_SCIENCE_LAB",-0.0703,0.15
"36","IN_CH_STATE_BA_x_CH_RURAL",-0.1099,0.24
"37","IN_CH_STATE_SP_x_FC_LIBRARY",-0.1286,0.28
"38","IN_CH_STATE_MA_x_CH_STATE",-0.1519,0.33
"39","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-0.3296,0.71
"40","IN_CH_STATE_PE_x_CH_RURAL",-0.3932,0.84
"41","IN_CH_STATE_x_FC_SCIENCE_LAB",-0.409,0.88
"42","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.4832,1.04
"43","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.7747,1.66
