"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PR_x_CH_FEDERAL",17.0076,28.15
"2","IN_CH_STATE_SP_x_CH_FEDERAL",2.5582,4.23
"3","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",1.8055,2.99
"4","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",1.3866,2.29
"5","IN_CH_STATE_SC_x_CH_PRIVATE",0.8913,1.48
"6","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.7504,1.24
"7","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.5871,0.97
"8","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.4972,0.82
"9","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.4892,0.81
"10","STR_TEACHERS_SECONDARY_FUNDEDU",0.4174,0.69
"11","IN_CH_STATE_PI_x_CH_URBAN",0.3621,0.6
"12","IN_CH_STATE_PI_x_CH_PRIVATE",0.35,0.58
"13","IN_CH_STATE_RJ_x_CH_RURAL",0.3439,0.57
"14","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.3173,0.53
"15","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.2165,0.36
"16","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.1881,0.31
"17","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.181,0.3
"18","IN_CH_STATE_MG_x_CH_RURAL",0.1794,0.3
"19","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.1635,0.27
"20","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.1598,0.26
"21","IN_CH_STATE_ES_x_FC_NO_SPORTS_QUAD",0.1457,0.24
"22","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",0.1346,0.22
"23","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.1345,0.22
"24","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.1325,0.22
"25","IN_CH_STATE_MG_x_CH_STATE",0.1309,0.22
"26","IN_CH_STATE_PE_x_CH_RURAL",0.1282,0.21
"27","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.1014,0.17
"28","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",0.0654,0.11
"29","IN_CH_STATE_TO_x_FC_LIBRARY",0.0564,0.09
"30","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0513,0.08
"31","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.042,0.07
"32","IN_CH_STATE_PB_x_CH_PRIVATE",0.0063,0.01
"33","IN_CH_STATE_MA_x_CH_URBAN",0.0036,0.01
"34","IN_CH_STATE_ES_x_CH_PRIVATE",5e-04,0
"35","ST_TOTAL_STAFF",-2e-04,0
"36","IN_CH_STATE_SP_x_FC_LIBRARY",-0.0012,0
"37","CH_CLASSES_FUNDAMENTAL_EDU_I",-0.0019,0
"38","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.0028,0
"39","FC_NUMBER_COMPUTERS",-0.0033,-0.01
"40","ST_FUND_EDU_TEACHERS",-0.0033,-0.01
"41","CH_CLASSES_FUNDAMENTAL_EDU",-0.0039,-0.01
"42","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.0079,-0.01
"43","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER",-0.0346,-0.06
"44","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.0605,-0.1
"45","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.0686,-0.11
"46","IN_CH_STATE_PA_x_CH_RURAL",-0.0733,-0.12
"47","IN_CH_STATE_SP_x_CH_STATE",-0.0746,-0.12
"48","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",-0.0953,-0.16
"49","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",-0.1154,-0.19
"50","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",-0.1348,-0.22
"51","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-0.197,-0.33
"52","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.2398,-0.4
"53","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_T",-0.2451,-0.41
"54","IN_CH_URBAN_x_FC_SCIENCE_LAB",-0.2651,-0.44
"55","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.2815,-0.47
"56","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",-0.3425,-0.57
"57","IN_CH_STATE_SC_x_CH_RURAL",-0.3461,-0.57
"58","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.4726,-0.78
"59","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-0.5368,-0.89
"60","FC_COMPUTER",-0.7189,-1.19
"61","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.9312,-1.54
"62","IN_CH_URBAN_x_FC_WATER_PUBLIC",-1.018,-1.68
"63","IN_CH_URBAN_x_FC_COMPUTER",-1.5304,-2.53
