"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.2944,0.34
"2","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.2785,0.32
"3","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.2319,0.27
"4","IN_CH_STATE_SP_x_CH_URBAN",0.2146,0.25
"5","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.113,0.13
"6","IN_CH_STATE_PR_x_CH_PRIVATE",0.0908,0.1
"7","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.0303,0.03
"8","CH_CLASSES_FUNDAMENTAL_EDU_I",-4e-04,0
"9","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.0046,-0.01
"10","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0108,-0.01
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.0283,-0.03
"12","IN_CH_STATE_MG_x_CH_URBAN",-0.0306,-0.04
"13","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",-0.0703,-0.08
"14","IN_CH_STATE_RJ_x_CH_URBAN",-0.0733,-0.08
"15","IN_CH_STATE_x_FC_HAS_SPORTS_QUAD",-0.0769,-0.09
"16","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.0867,-0.1
"17","IN_CH_STATE_RJ_x_CH_PRIVATE",-0.0951,-0.11
"18","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.1778,-0.2
"19","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER",-0.3007,-0.35
"20","FC_COMPUTER",-0.3083,-0.35
"21","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.3322,-0.38
"22","FC_TV_EQUIPMENT",-0.4308,-0.5
"23","IN_CH_STATE_SP_x_CH_RURAL",-0.4937,-0.57
"24","IN_CH_STATE_MG_x_CH_PRIVATE",-0.7627,-0.88
