"","Variable","Coefficient","Coefficient/ATE"
"1","FC_TV_EQUIPMENT",0.5893,12.42
"2","IN_CH_STATE_SP_x_CH_RURAL",0.3967,8.36
"3","IN_CH_STATE_x_FC_SCIENCE_LAB",0.3154,6.65
"4","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER",0.3107,6.55
"5","FC_WATER",0.2211,4.66
"6","IN_CH_STATE_AL_x_FC_COMPUTER_LAB",0.1229,2.59
"7","IN_CH_STATE_PE_x_CH_PRIVATE",0.1171,2.47
"8","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0899,1.89
"9","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0698,1.47
"10","IN_CH_RURAL_x_FC_LIBRARY",0.0647,1.36
"11","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.0547,1.15
"12","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.0516,1.09
"13","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0314,0.66
"14","FC_SEWAGE",0.0105,0.22
"15","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0032,0.07
"16","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",9e-04,0.02
"17","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.0018,-0.04
"18","IN_CH_STATE_RN_x_CH_RURAL",-0.0048,-0.1
"19","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.0111,-0.23
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0341,-0.72
"21","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.0445,-0.94
"22","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",-0.0636,-1.34
"23","STR_TEACHERS_SECONDARY_FUNDEDU",-0.0838,-1.77
"24","IN_CH_STATE_SP_x_CH_URBAN",-0.0874,-1.84
"25","IN_CH_STATE_PE_x_CH_RURAL",-0.192,-4.05
"26","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.2069,-4.36
"27","IN_CH_STATE_BA_x_CH_RURAL",-0.2171,-4.58
"28","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.248,-5.23
"29","IN_CH_STATE_PR_x_CH_PRIVATE",-0.3196,-6.74
"30","IN_CH_STATE_SP_x_CH_PRIVATE",-0.3646,-7.68
"31","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-0.4357,-9.18
