"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.4135,-0.89
"2","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.3487,-0.75
"3","IN_CH_STATE_SP_x_CH_RURAL",0.3016,-0.65
"4","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.2813,-0.6
"5","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.2067,-0.44
"6","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.1863,-0.4
"7","FC_TV_EQUIPMENT",0.1571,-0.34
"8","IN_CH_STATE_MG_x_CH_PRIVATE",0.1335,-0.29
"9","IN_CH_PRIVATE_x_FC_COMPUTER",0.1283,-0.27
"10","FC_COMPUTER",0.1125,-0.24
"11","IN_CH_STATE_RJ_x_CH_URBAN",0.1007,-0.22
"12","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.1002,-0.21
"13","IN_CH_RURAL_x_FC_LIBRARY",0.0773,-0.17
"14","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0733,-0.16
"15","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0639,-0.14
"16","IN_CH_STATE_PR_x_CH_RURAL",0.0376,-0.08
"17","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.0276,-0.06
"18","IN_CH_STATE_RS_x_CH_URBAN",0.0219,-0.05
"19","IN_CH_STATE_TO_x_CH_PRIVATE",0.0195,-0.04
"20","IN_CH_PRIVATE_x_FC_LIBRARY",0.0099,-0.02
"21","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.0056,-0.01
"22","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",5e-04,0
"23","FC_NUMBER_COMPUTERS",0,0
"24","CLASS_SIZE",-3e-04,0
"25","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR",-0.0019,0
"26","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",-0.0064,0.01
"27","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.0117,0.03
"28","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",-0.025,0.05
"29","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",-0.0319,0.07
"30","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.0319,0.07
"31","IN_CH_STATE_PE_x_CH_RURAL",-0.0347,0.07
"32","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",-0.0457,0.1
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0479,0.1
"34","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",-0.057,0.12
"35","IN_CH_STATE_SP_x_FC_LIBRARY",-0.1246,0.27
"36","IN_CH_URBAN_x_FC_SCIENCE_LAB",-0.1671,0.36
"37","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-0.1859,0.4
"38","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.2479,0.53
