"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.1669,-3.82
"2","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.1013,-3.61
"3","IN_CH_STATE_SP_x_CH_RURAL",0.9123,-2.99
"4","IN_CH_RURAL_x_FC_COMPUTER",0.5817,-1.91
"5","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",0.403,-1.32
"6","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.3045,-1
"7","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.2405,-0.79
"8","IN_CH_STATE_AL_x_FC_COMPUTER_LAB",0.2308,-0.76
"9","IN_CH_RURAL_x_FC_LIBRARY",0.2305,-0.76
"10","IN_CH_STATE_PE_x_CH_PRIVATE",0.228,-0.75
"11","IN_CH_STATE_RR_x_FC_LIBRARY",0.2244,-0.74
"12","IN_CH_STATE_MG_x_FC_COMPUTER",0.1396,-0.46
"13","FC_TV_EQUIPMENT",0.1284,-0.42
"14","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.114,-0.37
"15","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.1053,-0.34
"16","IN_CH_STATE_CE_x_CH_STATE",0.0866,-0.28
"17","FC_WATER",0.068,-0.22
"18","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.0342,-0.11
"19","FC_SEWAGE",0.0277,-0.09
"20","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0197,-0.06
"21","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0157,-0.05
"22","IN_CH_STATE_RR_x_FC_TV_EQUIPMENT",0.0027,-0.01
"23","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0019,-0.01
"24","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.0011,0
"25","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",4e-04,0
"26","CH_MATRI_FUNDAMENTAL_EDU",0,0
"27","IN_CH_URBAN_x_FC_LIBRARY",-0.0095,0.03
"28","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",-0.0111,0.04
"29","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.0113,0.04
"30","CH_FUNDAMENTAL_EDU_T",-0.019,0.06
"31","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",-0.0313,0.1
"32","IN_CH_STATE_SE_x_CH_RURAL",-0.0471,0.15
"33","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",-0.0572,0.19
"34","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",-0.0694,0.23
"35","IN_CH_STATE_RN_x_CH_RURAL",-0.105,0.34
"36","IN_CH_STATE_SP_x_CH_URBAN",-0.1079,0.35
"37","IN_CH_STATE_MA_x_CH_RURAL",-0.1279,0.42
"38","IN_CH_STATE_MA_x_CH_MUNICIPAL",-0.1307,0.43
"39","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.1812,0.59
"40","IN_CH_STATE_SP_x_FC_COMPUTER",-0.1829,0.6
"41","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.1934,0.63
"42","IN_CH_STATE_BA_x_CH_RURAL",-0.2289,0.75
"43","IN_CH_STATE_SP_x_CH_PRIVATE",-0.2822,0.92
"44","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.3674,1.2
"45","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.4151,1.36
"46","IN_CH_STATE_PE_x_CH_RURAL",-0.485,1.59
"47","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.4879,1.6
"48","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-0.5069,1.66
"49","IN_CH_STATE_PR_x_CH_PRIVATE",-0.6223,2.04
"50","IN_CH_STATE_PR_x_CH_FEDERAL",-2.2617,7.41
"51","IN_CH_STATE_SP_x_CH_FEDERAL",-11.7181,38.39
"52","IN_CH_STATE_SC_x_CH_FEDERAL",-29.5239,96.73
