"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",2.0722,-2.23
"2","IN_CH_STATE_DF_x_CH_PRIVATE",1.965,-2.12
"3","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.6528,-1.78
"4","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",1.4806,-1.59
"5","IN_CH_STATE_RR_x_CH_PRIVATE",1.4704,-1.58
"6","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",1.4472,-1.56
"7","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",1.2775,-1.38
"8","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",1.1932,-1.29
"9","IN_CH_STATE_PI_x_CH_MUNICIPAL",1.1311,-1.22
"10","IN_CH_STATE_MG_x_CH_PRIVATE",1.1112,-1.2
"11","IN_CH_STATE_MS_x_FC_NO_SPORTS_QUAD",1.0832,-1.17
"12","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.0435,-1.12
"13","IN_CH_STATE_ES_x_CH_PRIVATE",1.0415,-1.12
"14","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.9986,-1.08
"15","IN_CH_STATE_DF_x_FC_NO_SPORTS_QUAD",0.9812,-1.06
"16","IN_CH_STATE_GO_x_CH_RURAL",0.9741,-1.05
"17","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.8841,-0.95
"18","FC_COMPUTER",0.8766,-0.94
"19","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.8758,-0.94
"20","IN_CH_STATE_AL_x_CH_PRIVATE",0.822,-0.89
"21","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",0.8052,-0.87
"22","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.7621,-0.82
"23","IN_CH_STATE_MS_x_FC_COMPUTER_LAB",0.7383,-0.8
"24","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.7061,-0.76
