"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_URBAN",3.2191,0.97
"2","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",2.4917,0.75
"3","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",2.2476,0.68
"4","IN_CH_STATE_MG_x_CH_PRIVATE",1.9709,0.59
"5","IN_CH_STATE_DF_x_CH_PRIVATE",1.9326,0.58
"6","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",1.6929,0.51
"7","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",1.5883,0.48
"8","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",1.3876,0.42
"9","IN_CH_STATE_RR_x_CH_PRIVATE",1.3691,0.41
"10","IN_CH_STATE_ES_x_CH_PRIVATE",1.2652,0.38
"11","IN_CH_STATE_RR_x_CH_URBAN",1.2397,0.37
"12","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",1.1899,0.36
"13","IN_CH_STATE_AC_x_CH_PRIVATE",1.1839,0.36
"14","IN_CH_STATE_AP_x_CH_STATE",1.1525,0.35
"15","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",1.0948,0.33
"16","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",1.0023,0.3
"17","IN_CH_STATE_MS_x_FC_SCIENCE_LAB",0.9934,0.3
"18","IN_CH_STATE_RR_x_FC_SCIENCE_LAB",0.9442,0.28
"19","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.8563,0.26
"20","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.8019,0.24
"21","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.7932,0.24
"22","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",0.7277,0.22
"23","IN_CH_STATE_AM_x_CH_STATE",0.724,0.22
"24","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.703,0.21
"25","IN_CH_STATE_MT_x_FC_SCIENCE_LAB",0.6848,0.21
"26","IN_CH_STATE_RS_x_FC_WATER_PUBLIC",0.6635,0.2
"27","IN_CH_STATE_PE_x_CH_STATE",0.6238,0.19
"28","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.6232,0.19
"29","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.5874,0.18
"30","IN_CH_STATE_MT_x_CH_STATE",0.5712,0.17
"31","IN_CH_URBAN_x_FC_SCIENCE_LAB",0.5689,0.17
"32","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.5597,0.17
"33","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.548,0.17
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.5373,0.16
"35","IN_CH_STATE_CE_x_CH_STATE",0.5213,0.16
"36","IN_CH_STATE_RO_x_CH_STATE",0.5096,0.15
"37","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.4886,0.15
"38","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER_PUBLIC",0.459,0.14
"39","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.4531,0.14
"40","IN_CH_STATE_RS_x_FC_INTERNET",0.4352,0.13
"41","IN_CH_STATE_AL_x_CH_PRIVATE",0.3813,0.12
"42","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",0.3715,0.11
"43","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",0.3603,0.11
"44","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.2971,0.09
"45","IN_CH_STATE_RJ_x_CH_PRIVATE",0.2799,0.08
"46","IN_CH_STATE_MT_x_FC_ANTENNA_EQUIPMENT",0.2744,0.08
"47","ST_TEACHER_EDUCATION_YEARS",0.2676,0.08
"48","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",0.2513,0.08
"49","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",0.2375,0.07
"50","IN_CH_STATE_MA_x_CH_RURAL",0.2356,0.07
"51","IN_CH_STATE_GO_x_CH_PRIVATE",0.2186,0.07
"52","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.2164,0.07
"53","IN_CH_STATE_MS_x_CH_MUNICIPAL",0.1713,0.05
"54","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.1634,0.05
"55","IN_CH_STATE_PA_x_CH_RURAL",0.1594,0.05
"56","IN_CH_STATE_MA_x_FC_NO_SPORTS_QUAD",0.1564,0.05
"57","IN_CH_STATE_DF_x_FC_NO_SPORTS_QUAD",0.1526,0.05
"58","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.1422,0.04
"59","IN_CH_STATE_GO_x_FC_SEWAGE_PUBLIC",0.1237,0.04
"60","IN_CH_STATE_GO_x_CH_SCHOOL_LARGE_SIZE",0.1221,0.04
"61","IN_CH_STATE_SE_x_CH_RURAL",0.113,0.03
"62","IN_CH_STATE_PA_x_CH_MUNICIPAL",0.1095,0.03
"63","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.1062,0.03
"64","FC_SCIENCE_LAB",0.0957,0.03
"65","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.0947,0.03
"66","IN_CH_STATE_BA_x_CH_RURAL",0.0928,0.03
"67","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.089,0.03
"68","IN_CH_STATE_CE_x_CH_RURAL",0.0855,0.03
"69","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.0679,0.02
"70","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0635,0.02
"71","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.0428,0.01
"72","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0291,0.01
"73","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.0222,0.01
"74","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.0194,0.01
"75","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.0163,0
"76","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.0144,0
"77","FC_ROOMS_USED",0.0111,0
"78","FC_COMPUTER_LAB",0.007,0
"79","IN_CH_STATE_MS_x_FC_ANTENNA_EQUIPMENT",0.0022,0
"80","FC_ROOMS_AVAILABLE",0.0014,0
"81","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0011,0
