"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_PRIVATE",1.9389,-4.94
"2","IN_CH_STATE_MG_x_CH_PRIVATE",1.8372,-4.68
"3","IN_CH_STATE_DF_x_CH_PRIVATE",1.6548,-4.22
"4","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.5683,-3.99
"5","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",1.4071,-3.58
"6","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",1.4058,-3.58
"7","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.3821,-3.52
"8","IN_CH_STATE_ES_x_CH_PRIVATE",1.1391,-2.9
"9","IN_CH_STATE_PI_x_CH_MUNICIPAL",1.0186,-2.59
"10","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.9657,-2.46
"11","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.9257,-2.36
"12","IN_CH_STATE_MS_x_FC_NO_SPORTS_QUAD",0.8636,-2.2
"13","FC_COMPUTER",0.8525,-2.17
"14","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.8353,-2.13
"15","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",0.7676,-1.96
"16","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.7659,-1.95
"17","IN_CH_STATE_DF_x_FC_NO_SPORTS_QUAD",0.7449,-1.9
"18","IN_CH_STATE_GO_x_CH_RURAL",0.7379,-1.88
"19","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.7176,-1.83
"20","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.6696,-1.71
"21","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.6259,-1.59
"22","IN_CH_STATE_AC_x_CH_PRIVATE",0.6105,-1.56
"23","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.5346,-1.36
"24","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.5195,-1.32
"25","IN_CH_STATE_BA_x_FC_INTERNET",0.496,-1.26
"26","IN_CH_STATE_RS_x_FC_WATER_PUBLIC",0.4809,-1.22
"27","IN_CH_STATE_AL_x_CH_PRIVATE",0.4743,-1.21
"28","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.4416,-1.12
"29","IN_CH_STATE_MS_x_FC_COMPUTER_LAB",0.4299,-1.1
"30","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",0.3904,-0.99
"31","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.3807,-0.97
"32","IN_CH_STATE_MS_x_CH_MUNICIPAL",0.3566,-0.91
"33","IN_CH_STATE_SC_x_FC_WATER_PUBLIC",0.3447,-0.88
"34","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.3401,-0.87
