"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_PRIVATE",1.5096,2.23
"2","IN_CH_STATE_MG_x_CH_PRIVATE",1.4324,2.11
"3","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.4197,2.1
"4","IN_CH_STATE_DF_x_CH_PRIVATE",1.4129,2.09
"5","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",1.2406,1.83
"6","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",1.2001,1.77
"7","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.0476,1.55
"8","IN_CH_STATE_ES_x_CH_PRIVATE",0.9817,1.45
"9","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.9023,1.33
"10","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.792,1.17
"11","IN_CH_STATE_DF_x_FC_NO_SPORTS_QUAD",0.7661,1.13
"12","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.7362,1.09
"13","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.7331,1.08
"14","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",0.5956,0.88
"15","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.5704,0.84
"16","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.5626,0.83
"17","IN_CH_STATE_GO_x_CH_RURAL",0.5499,0.81
"18","IN_CH_STATE_MS_x_FC_NO_SPORTS_QUAD",0.5446,0.8
"19","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.5366,0.79
"20","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.4976,0.73
"21","FC_ELECTR_PUBLIC",0.4877,0.72
"22","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.4482,0.66
"23","IN_CH_STATE_PI_x_CH_MUNICIPAL",0.437,0.65
"24","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.4086,0.6
"25","IN_CH_STATE_MS_x_FC_COMPUTER_LAB",0.3721,0.55
"26","IN_CH_STATE_AC_x_CH_PRIVATE",0.3257,0.48
"27","IN_CH_STATE_AL_x_CH_PRIVATE",0.3048,0.45
"28","IN_CH_STATE_MS_x_CH_MUNICIPAL",0.2998,0.44
"29","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.2779,0.41
"30","IN_CH_STATE_MS_x_CH_RURAL",0.2676,0.4
"31","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",0.26,0.38
"32","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.2593,0.38
"33","IN_CH_STATE_MS_x_FC_SCIENCE_LAB",0.2545,0.38
"34","IN_CH_URBAN_x_FC_SCIENCE_LAB",0.2543,0.38
"35","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.2451,0.36
"36","IN_CH_STATE_MT_x_FC_NO_SPORTS_QUAD",0.2428,0.36
"37","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.2411,0.36
"38","IN_CH_STATE_RS_x_CH_STATE",0.2407,0.36
"39","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.2392,0.35
"40","FC_COMPUTER",0.239,0.35
"41","IN_CH_STATE_BA_x_FC_INTERNET",0.2332,0.34
"42","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.2299,0.34
"43","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.2289,0.34
"44","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.2275,0.34
"45","IN_CH_STATE_PA_x_CH_MUNICIPAL",0.2217,0.33
"46","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.2203,0.33
"47","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.2136,0.32
"48","IN_CH_STATE_RS_x_FC_WATER_PUBLIC",0.2046,0.3
"49","IN_CH_STATE_SE_x_CH_MUNICIPAL",0.2044,0.3
