"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_RURAL",0.9493,0.88
"2","IN_CH_STATE_RS_x_CH_RURAL",0.7791,0.72
"3","IN_CH_STATE_MS_x_CH_SCHOOL_LARGE_SIZE",0.7572,0.7
"4","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.6122,0.56
"5","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.5478,0.51
"6","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.535,0.49
"7","IN_CH_STATE_PI_x_CH_RURAL",0.4889,0.45
"8","IN_CH_STATE_AP_x_CH_RURAL",0.4726,0.44
"9","IN_CH_STATE_RO_x_CH_PRIVATE",0.4616,0.43
"10","IN_CH_STATE_RS_x_CH_FEDERAL",0.4356,0.4
"11","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.3858,0.36
"12","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",0.369,0.34
"13","IN_CH_STATE_DF_x_FC_SCIENCE_LAB",0.3537,0.33
"14","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.3504,0.32
"15","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.3502,0.32
"16","IN_CH_STATE_AC_x_CH_FEDERAL",0.3199,0.29
"17","IN_CH_STATE_RO_x_CH_STATE",0.3148,0.29
"18","IN_CH_STATE_GO_x_CH_STATE",0.2906,0.27
"19","IN_CH_STATE_RN_x_CH_PRIVATE",0.2847,0.26
"20","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.281,0.26
"21","IN_CH_STATE_ES_x_CH_RURAL",0.2807,0.26
"22","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.2731,0.25
"23","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.2501,0.23
"24","IN_CH_STATE_SC_x_CH_MUNICIPAL",0.2458,0.23
"25","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.2256,0.21
"26","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.2217,0.2
"27","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.2182,0.2
"28","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.2089,0.19
"29","IN_CH_STATE_MT_x_FC_SEWAGE_PUBLIC",0.1978,0.18
"30","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.1962,0.18
