"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_INCOMPLETE_FUNDEDU",4.2631,-0.85
"2","IN_CH_STATE_SP_x_CH_PRIVATE",3.3996,-0.67
"3","IN_CH_STATE_AP_x_CH_MUNICIPAL",2.6771,-0.53
"4","IN_CH_STATE_RS_x_CH_FEDERAL",2.2592,-0.45
"5","STR_TEACHERS_ONLY_FUNDEDU",2.1351,-0.42
"6","IN_CH_STATE_AP_x_CH_PRIVATE",1.9643,-0.39
"7","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",1.8395,-0.36
"8","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.7307,-0.34
"9","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",1.7197,-0.34
"10","IN_CH_STATE_AL_x_CH_STATE",1.6646,-0.33
"11","IN_CH_STATE_BA_x_CH_STATE",1.552,-0.31
"12","IN_CH_STATE_PE_x_CH_PRIVATE",1.5386,-0.31
"13","IN_CH_STATE_SP_x_CH_STATE",1.5207,-0.3
"14","IN_CH_STATE_MS_x_FC_COMPUTER_LAB",1.4699,-0.29
"15","IN_CH_STATE_MS_x_FC_NO_SPORTS_QUAD",1.4003,-0.28
"16","IN_CH_STATE_RJ_x_CH_STATE",1.3464,-0.27
"17","IN_CH_STATE_SC_x_CH_PRIVATE",1.3115,-0.26
"18","IN_CH_STATE_AC_x_CH_MUNICIPAL",1.2727,-0.25
"19","IN_CH_STATE_CE_x_CH_PRIVATE",1.231,-0.24
"20","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.1684,-0.23
"21","IN_CH_STATE_MT_x_CH_MUNICIPAL",0.9715,-0.19
"22","IN_CH_STATE_RS_x_CH_PRIVATE",0.959,-0.19
"23","IN_CH_STATE_MS_x_CH_STATE",0.943,-0.19
"24","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",0.932,-0.18
"25","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.9048,-0.18
"26","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.8806,-0.17
"27","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.8713,-0.17
"28","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.856,-0.17
"29","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.8466,-0.17
"30","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.8222,-0.16
"31","IN_CH_STATE_MS_x_CH_PRIVATE",0.8116,-0.16
"32","IN_CH_STATE_GO_x_CH_RURAL",0.7871,-0.16
"33","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",0.7738,-0.15
"34","IN_CH_STATE_MT_x_CH_PRIVATE",0.7152,-0.14
"35","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",0.7148,-0.14
"36","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.7098,-0.14
"37","IN_CH_STATE_PI_x_CH_MUNICIPAL",0.7079,-0.14
"38","CH_FEDERAL",0.6934,-0.14
"39","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.6826,-0.14
"40","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.6796,-0.13
"41","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.6618,-0.13
