"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_STATE",0.3114,0.5
"2","IN_CH_STATE_RS_x_FC_INTERNET",0.286,0.46
"3","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.2814,0.45
"4","IN_CH_STATE_MS_x_CH_SCHOOL_LARGE_SIZE",0.2518,0.4
"5","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",0.2479,0.4
"6","IN_CH_STATE_SP_x_FC_SEWAGE_PUBLIC",0.2377,0.38
"7","IN_CH_STATE_RO_x_CH_PRIVATE",0.205,0.33
"8","IN_CH_STATE_RN_x_CH_PRIVATE",0.1842,0.3
"9","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.1821,0.29
"10","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.1771,0.28
"11","IN_CH_STATE_MA_x_CH_RURAL",0.1746,0.28
"12","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.1674,0.27
"13","IN_CH_STATE_PI_x_CH_RURAL",0.1632,0.26
"14","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.161,0.26
"15","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.1587,0.25
"16","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.1524,0.24
"17","IN_CH_STATE_ES_x_CH_RURAL",0.1498,0.24
"18","IN_CH_STATE_DF_x_FC_SCIENCE_LAB",0.1447,0.23
"19","IN_CH_STATE_SE_x_CH_RURAL",0.1426,0.23
"20","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.1409,0.23
"21","IN_CH_STATE_RR_x_FC_INTERNET",0.1335,0.21
"22","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.1234,0.2
"23","IN_CH_STATE_RS_x_CH_RURAL",0.1224,0.2
"24","IN_CH_STATE_TO_x_CH_STATE",0.1214,0.19
"25","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",0.1207,0.19
"26","CH_STATE_SC",0.1179,0.19
"27","IN_CH_STATE_AC_x_CH_SCHOOL_LARGE_SIZE",0.1163,0.19
"28","STR_TEACHERS_ADVANCED_FUNDEDU",0.1137,0.18
"29","IN_CH_STATE_DF_x_CH_PRIVATE",0.1095,0.18
"30","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.109,0.17
"31","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",0.1072,0.17
"32","IN_CH_STATE_AP_x_FC_INTERNET",0.1035,0.17
"33","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1031,0.17
"34","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.1022,0.16
"35","IN_CH_STATE_SC_x_CH_RURAL",0.1016,0.16
"36","IN_CH_STATE_AM_x_CH_STATE",0.1001,0.16
"37","IN_CH_URBAN_x_FC_INTERNET",0.0997,0.16
"38","IN_CH_STATE_RR_x_FC_NO_SPORTS_QUAD",0.092,0.15
"39","FC_SCIENCE_LAB",0.0903,0.14
"40","IN_CH_STATE_AC_x_CH_URBAN",0.0902,0.14
