"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",238.6773,22.38
"2","IN_CH_STATE_CE_x_CH_FEDERAL",84.4838,7.92
"3","IN_CH_STATE_PR_x_CH_FEDERAL",70.5546,6.61
"4","IN_CH_STATE_PA_x_CH_FEDERAL",62.8018,5.89
"5","IN_CH_STATE_SC_x_CH_FEDERAL",61.1594,5.73
"6","IN_CH_STATE_MA_x_CH_FEDERAL",55.461,5.2
"7","IN_CH_STATE_TO_x_CH_FEDERAL",31.2615,2.93
"8","IN_CH_STATE_MG_x_CH_FEDERAL",26.5965,2.49
"9","IN_CH_STATE_RR_x_CH_FEDERAL",20.3261,1.91
"10","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",10.9157,1.02
"11","IN_CH_STATE_RN_x_CH_PRIVATE",9.6712,0.91
"12","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",9.5117,0.89
"13","IN_CH_STATE_SC_x_CH_PRIVATE",9.1618,0.86
"14","IN_CH_STATE_PI_x_CH_STATE",9.1283,0.86
"15","IN_CH_STATE_PR_x_CH_PRIVATE",8.6503,0.81
"16","IN_CH_STATE_PB_x_CH_PRIVATE",8.5375,0.8
"17","IN_CH_STATE_AM_x_CH_STATE",8.2214,0.77
"18","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",7.896,0.74
"19","IN_CH_STATE_x_FC_SCIENCE_LAB",7.4024,0.69
"20","IN_CH_STATE_SP_x_CH_PRIVATE",7.3356,0.69
"21","IN_CH_STATE_ES_x_CH_RURAL",6.6928,0.63
"22","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",5.4691,0.51
"23","IN_CH_STATE_PA_x_CH_STATE",5.4475,0.51
"24","IN_CH_STATE_BA_x_CH_STATE",5.3386,0.5
"25","IN_CH_STATE_PI_x_CH_PRIVATE",4.8504,0.45
"26","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",4.7325,0.44
"27","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",4.6802,0.44
"28","IN_CH_STATE_MG_x_CH_PRIVATE",4.6778,0.44
"29","IN_CH_STATE_RO_x_CH_RURAL",4.4275,0.42
"30","IN_CH_STATE_PB_x_CH_STATE",4.3327,0.41
"31","IN_CH_STATE_MA_x_CH_URBAN",4.1473,0.39
"32","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",4.0479,0.38
"33","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",3.8882,0.36
"34","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",3.6742,0.34
"35","IN_CH_STATE_AC_x_FC_COMPUTER_LAB",3.4148,0.32
