"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",193.3779,22.41
"2","IN_CH_STATE_CE_x_CH_FEDERAL",43.5604,5.05
"3","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",7.2923,0.84
"4","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",7.052,0.82
"5","IN_CH_STATE_PI_x_CH_STATE",6.8128,0.79
"6","IN_CH_STATE_BA_x_CH_STATE",6.6353,0.77
"7","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",6.3007,0.73
"8","IN_CH_STATE_TO_x_CH_FEDERAL",6.2914,0.73
"9","IN_CH_STATE_RN_x_CH_PRIVATE",5.9904,0.69
"10","IN_CH_STATE_AM_x_CH_STATE",5.4357,0.63
"11","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",5.3426,0.62
"12","IN_CH_STATE_ES_x_CH_RURAL",5.2356,0.61
"13","IN_CH_STATE_PB_x_CH_PRIVATE",5.2,0.6
"14","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",4.5971,0.53
"15","IN_CH_STATE_MA_x_CH_URBAN",4.2927,0.5
"16","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",4.0093,0.46
"17","IN_CH_STATE_SP_x_CH_PRIVATE",3.4517,0.4
"18","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",3.0382,0.35
"19","IN_CH_STATE_RR_x_CH_MUNICIPAL",2.9891,0.35
"20","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",2.9068,0.34
"21","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",2.7991,0.32
"22","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",2.6385,0.31
"23","IN_CH_STATE_SE_x_CH_RURAL",2.5969,0.3
"24","IN_CH_STATE_MA_x_CH_FEDERAL",2.5904,0.3
"25","IN_CH_STATE_AC_x_FC_COMPUTER_LAB",2.5746,0.3
"26","IN_CH_STATE_RO_x_CH_RURAL",2.571,0.3
"27","IN_CH_STATE_MA_x_CH_STATE",2.5351,0.29
"28","IN_CH_STATE_PA_x_CH_STATE",2.3141,0.27
"29","IN_CH_STATE_PI_x_CH_PRIVATE",2.3046,0.27
"30","IN_CH_STATE_PB_x_CH_STATE",2.1707,0.25
"31","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",1.6844,0.2
"32","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.5561,0.18
"33","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",1.5245,0.18
"34","IN_CH_STATE_AL_x_CH_RURAL",1.5072,0.17
"35","STR_TEACHERS_SECONDARY_FUNDEDU",1.294,0.15
"36","IN_CH_STATE_MG_x_CH_PRIVATE",1.2091,0.14
"37","IN_CH_STATE_RN_x_CH_RURAL",1.1568,0.13
"38","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",1.1404,0.13
