"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",167.2092,19.83
"2","IN_CH_STATE_CE_x_CH_FEDERAL",57.2845,6.79
"3","IN_CH_STATE_PA_x_CH_FEDERAL",52.5768,6.24
"4","IN_CH_STATE_PR_x_CH_FEDERAL",38.0919,4.52
"5","IN_CH_STATE_MA_x_CH_FEDERAL",17.9931,2.13
"6","IN_CH_STATE_TO_x_CH_FEDERAL",15.2422,1.81
"7","IN_CH_STATE_MG_x_CH_FEDERAL",14.029,1.66
"8","IN_CH_STATE_AM_x_CH_STATE",9.0935,1.08
"9","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",7.8527,0.93
"10","IN_CH_STATE_RN_x_CH_PRIVATE",6.9115,0.82
"11","IN_CH_STATE_PI_x_CH_STATE",6.492,0.77
"12","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",6.4514,0.77
"13","IN_CH_STATE_PB_x_CH_PRIVATE",5.6789,0.67
"14","IN_CH_STATE_ES_x_CH_RURAL",5.3467,0.63
"15","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",4.8504,0.58
"16","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",4.6249,0.55
"17","IN_CH_STATE_BA_x_CH_STATE",4.5208,0.54
"18","IN_CH_STATE_MA_x_CH_URBAN",4.4483,0.53
"19","IN_CH_STATE_x_FC_SCIENCE_LAB",3.7109,0.44
"20","IN_CH_STATE_RR_x_CH_MUNICIPAL",3.5412,0.42
"21","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",3.3162,0.39
"22","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",3.2293,0.38
"23","IN_CH_STATE_RO_x_CH_RURAL",3.1898,0.38
"24","IN_CH_STATE_PR_x_CH_PRIVATE",3.0991,0.37
"25","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",3.0889,0.37
"26","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",2.9908,0.35
"27","IN_CH_STATE_PA_x_CH_STATE",2.9455,0.35
"28","IN_CH_STATE_PI_x_CH_PRIVATE",2.9212,0.35
"29","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",2.8825,0.34
"30","IN_CH_STATE_PB_x_CH_STATE",2.7364,0.32
"31","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",2.6704,0.32
"32","IN_CH_STATE_SE_x_CH_RURAL",2.6381,0.31
"33","IN_CH_STATE_SC_x_CH_PRIVATE",2.4941,0.3
"34","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.9641,0.23
"35","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",1.9611,0.23
"36","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.8065,0.21
"37","IN_CH_STATE_SP_x_CH_PRIVATE",1.7832,0.21
"38","IN_CH_STATE_AM_x_FC_COMPUTER",1.7803,0.21
"39","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",1.722,0.2
"40","IN_CH_STATE_MA_x_CH_STATE",1.6278,0.19
"41","IN_CH_STATE_TO_x_CH_RURAL",1.555,0.18
"42","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",1.4717,0.17
"43","IN_CH_STATE_RN_x_CH_RURAL",1.4188,0.17
"44","IN_CH_STATE_MG_x_CH_PRIVATE",1.3947,0.17
"45","IN_CH_STATE_AL_x_CH_RURAL",1.2654,0.15
"46","STR_TEACHERS_SECONDARY_FUNDEDU",1.2226,0.15
"47","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",1.217,0.14
"48","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",1.0305,0.12
"49","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",1.0069,0.12
"50","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.9792,0.12
"51","IN_CH_STATE_AC_x_FC_COMPUTER_LAB",0.9539,0.11
"52","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.9228,0.11
"53","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.86,0.1
"54","IN_CH_STATE_BA_x_CH_MUNICIPAL",0.8126,0.1
"55","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",0.6987,0.08
"56","IN_CH_STATE_BA_x_FC_ELECTR",0.6902,0.08
"57","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.6558,0.08
"58","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.6255,0.07
"59","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.5674,0.07
"60","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.4928,0.06
"61","FC_SEWAGE",0.3952,0.05
"62","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.3744,0.04
"63","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",0.3693,0.04
"64","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.303,0.04
"65","IN_CH_STATE_SE_x_FC_HAS_SPORTS_QUAD",0.2916,0.03
"66","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.2861,0.03
"67","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.2493,0.03
"68","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",0.161,0.02
"69","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0783,0.01
"70","ST_FUND_EDU_TEACHERS",0.0169,0
"71","FC_ROOMS_AVAILABLE",0.0099,0
"72","IN_CH_STATE_BA_x_FC_ELECTR_PUBLIC",8e-04,0
"73","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0012,0
"74","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER",-0.0019,0
"75","IN_CH_RURAL_x_FC_COMPUTER_LAB",-0.0084,0
"76","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",-0.0299,0
"77","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",-0.0678,-0.01
"78","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",-0.0893,-0.01
"79","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-0.1264,-0.01
"80","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",-0.2228,-0.03
"81","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.2621,-0.03
"82","IN_CH_STATE_SC_x_CH_RURAL",-0.3014,-0.04
"83","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.3335,-0.04
"84","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-0.3512,-0.04
"85","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.425,-0.05
"86","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.5573,-0.07
"87","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.5702,-0.07
"88","FC_WATER_PUBLIC",-0.6019,-0.07
"89","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",-0.6367,-0.08
"90","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.6429,-0.08
"91","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-0.6599,-0.08
"92","IN_CH_STATE_x_FC_COMPUTER",-0.6979,-0.08
"93","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",-0.6982,-0.08
"94","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.7605,-0.09
"95","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.8954,-0.11
"96","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",-0.9337,-0.11
"97","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",-0.9685,-0.11
"98","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-0.9899,-0.12
"99","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-1.0248,-0.12
"100","IN_CH_STATE_PA_x_CH_RURAL",-1.0355,-0.12
"101","IN_CH_STATE_PR_x_CH_RURAL",-1.0647,-0.13
"102","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-1.1153,-0.13
"103","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",-1.1339,-0.13
"104","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-1.2777,-0.15
"105","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-1.371,-0.16
"106","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-1.3917,-0.17
"107","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.6336,-0.19
"108","FC_WATER",-1.6665,-0.2
"109","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-1.7164,-0.2
"110","IN_CH_STATE_PB_x_CH_RURAL",-1.812,-0.21
"111","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-1.9144,-0.23
"112","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-1.921,-0.23
"113","IN_CH_MUNICIPAL_x_FC_COMPUTER_LAB",-2.143,-0.25
"114","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-2.1751,-0.26
"115","IN_CH_STATE_RN_x_CH_STATE",-2.2511,-0.27
"116","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-2.3208,-0.28
"117","IN_CH_STATE_PE_x_CH_PRIVATE",-2.3393,-0.28
"118","STR_TEACHERS_INCOMPLETE_FUNDEDU",-2.3515,-0.28
"119","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",-2.3676,-0.28
"120","IN_CH_STATE_PE_x_CH_STATE",-2.4337,-0.29
"121","IN_CH_STATE_ES_x_CH_STATE",-2.4953,-0.3
"122","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",-2.7007,-0.32
"123","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",-2.715,-0.32
"124","IN_CH_STATE_x_FC_TV_EQUIPMENT",-2.8422,-0.34
"125","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-2.851,-0.34
"126","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",-2.8942,-0.34
"127","IN_CH_STATE_RS_x_CH_RURAL",-3.0707,-0.36
"128","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",-3.135,-0.37
"129","IN_CH_STATE_ES_x_CH_PRIVATE",-3.2237,-0.38
"130","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-3.2496,-0.39
"131","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-3.6055,-0.43
"132","IN_CH_STATE_CE_x_CH_RURAL",-3.7814,-0.45
"133","IN_CH_STATE_RJ_x_CH_RURAL",-3.9179,-0.46
"134","IN_CH_STATE_PA_x_CH_PRIVATE",-4.2363,-0.5
"135","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",-4.3519,-0.52
"136","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-4.3641,-0.52
"137","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",-4.9949,-0.59
"138","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",-5.2611,-0.62
"139","IN_CH_PRIVATE_x_FC_COMPUTER",-5.295,-0.63
"140","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-5.34,-0.63
"141","IN_CH_STATE_RO_x_CH_PRIVATE",-5.892,-0.7
"142","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",-6.174,-0.73
"143","IN_CH_STATE_CE_x_CH_PRIVATE",-6.2583,-0.74
"144","IN_CH_URBAN_x_FC_COMPUTER",-6.6603,-0.79
"145","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-7.4567,-0.88
"146","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-8.0431,-0.95
"147","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",-9.5773,-1.14
"148","IN_CH_STATE_MA_x_CH_PRIVATE",-9.9295,-1.18
"149","IN_CH_RURAL_x_FC_SCIENCE_LAB",-9.997,-1.19
"150","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",-11.6191,-1.38
"151","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-11.6213,-1.38
"152","IN_CH_STATE_AM_x_CH_PRIVATE",-11.6431,-1.38
"153","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-12.0274,-1.43
"154","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-13.4329,-1.59
"155","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-15.2303,-1.81
"156","IN_CH_STATE_RR_x_CH_PRIVATE",-22.0327,-2.61
"157","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",-29.4733,-3.5
"158","IN_CH_STATE_AC_x_CH_PRIVATE",-30.5677,-3.63
"159","IN_CH_STATE_ES_x_CH_FEDERAL",-33.3239,-3.95
"160","IN_CH_STATE_BA_x_CH_FEDERAL",-33.523,-3.98
"161","IN_CH_STATE_RO_x_CH_FEDERAL",-36.2231,-4.3
"162","IN_CH_STATE_RN_x_CH_FEDERAL",-47.3267,-5.61
"163","IN_CH_STATE_AP_x_CH_FEDERAL",-55.0764,-6.53
