"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",170.5229,22.23
"2","IN_CH_STATE_CE_x_CH_FEDERAL",53.3259,6.95
"3","IN_CH_STATE_TO_x_CH_FEDERAL",9.7687,1.27
"4","IN_CH_STATE_MA_x_CH_FEDERAL",9.5585,1.25
"5","IN_CH_STATE_AM_x_CH_STATE",7.9426,1.04
"6","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",7.3009,0.95
"7","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",6.563,0.86
"8","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",6.294,0.82
"9","IN_CH_STATE_PI_x_CH_STATE",6.2832,0.82
"10","IN_CH_STATE_BA_x_CH_STATE",6.0154,0.78
"11","IN_CH_STATE_RN_x_CH_PRIVATE",5.9722,0.78
"12","IN_CH_STATE_PB_x_CH_PRIVATE",5.216,0.68
"13","IN_CH_STATE_ES_x_CH_RURAL",4.9975,0.65
"14","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",4.4794,0.58
"15","IN_CH_STATE_MA_x_CH_URBAN",3.9516,0.52
"16","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",3.602,0.47
"17","IN_CH_STATE_MG_x_CH_FEDERAL",3.5244,0.46
"18","IN_CH_STATE_SP_x_CH_PRIVATE",3.3111,0.43
"19","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",3.2311,0.42
"20","IN_CH_STATE_RR_x_CH_MUNICIPAL",3.1604,0.41
"21","IN_CH_STATE_PA_x_CH_STATE",3.1314,0.41
"22","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",3.0852,0.4
"23","IN_CH_STATE_RO_x_CH_RURAL",2.8387,0.37
"24","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",2.8147,0.37
"25","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",2.7377,0.36
"26","IN_CH_STATE_PB_x_CH_STATE",2.588,0.34
"27","IN_CH_STATE_SE_x_CH_RURAL",2.3546,0.31
"28","IN_CH_STATE_AC_x_FC_COMPUTER_LAB",2.2802,0.3
"29","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",2.2572,0.29
"30","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",2.0697,0.27
"31","IN_CH_STATE_PI_x_CH_PRIVATE",2.037,0.27
"32","IN_CH_STATE_MA_x_CH_STATE",1.8349,0.24
"33","IN_CH_STATE_x_FC_SCIENCE_LAB",1.83,0.24
"34","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",1.7634,0.23
"35","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",1.7098,0.22
"36","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",1.6591,0.22
"37","IN_CH_STATE_AM_x_FC_COMPUTER",1.5386,0.2
"38","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",1.3933,0.18
"39","IN_CH_STATE_RN_x_CH_RURAL",1.3611,0.18
"40","IN_CH_STATE_TO_x_CH_RURAL",1.3362,0.17
"41","IN_CH_STATE_AL_x_CH_RURAL",1.2881,0.17
"42","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",1.1653,0.15
"43","STR_TEACHERS_SECONDARY_FUNDEDU",1.1467,0.15
"44","IN_CH_RURAL_x_FC_TV_EQUIPMENT",1.1422,0.15
"45","IN_CH_STATE_MG_x_CH_PRIVATE",1.1351,0.15
"46","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.9693,0.13
"47","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.9407,0.12
"48","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.9403,0.12
"49","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.9108,0.12
"50","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",0.8212,0.11
"51","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.792,0.1
"52","IN_CH_STATE_BA_x_FC_ELECTR",0.7262,0.09
"53","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",0.6995,0.09
"54","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.6601,0.09
"55","IN_CH_STATE_BA_x_CH_MUNICIPAL",0.6309,0.08
"56","IN_CH_STATE_SP_x_CH_STATE",0.5683,0.07
"57","IN_CH_STATE_PR_x_CH_PRIVATE",0.4833,0.06
"58","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.4564,0.06
"59","IN_CH_STATE_PA_x_CH_FEDERAL",0.452,0.06
"60","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.4092,0.05
"61","IN_CH_STATE_SC_x_CH_PRIVATE",0.3921,0.05
"62","IN_CH_STATE_BA_x_FC_SEWAGE",0.2931,0.04
"63","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.2901,0.04
"64","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",0.1966,0.03
"65","IN_CH_STATE_AM_x_CH_MUNICIPAL",0.1336,0.02
"66","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.1205,0.02
"67","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.1137,0.01
"68","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_I",0.0156,0
"69","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.0124,0
